GS1-2016 fixes
Format: Line | Q# | Before => After

3 | Q1 | A) 1 only => (a) 1 only
4 | Q1 | B) 2 only => (b) 2 only
5 | Q1 | C) Both 1 and 2 => (c) Both 1 and 2
6 | Q1 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
10 | Q2 | A) 1 only => (a) 1 only
11 | Q2 | B) 2 and 3 only => (b) 2 and 3 only
12 | Q2 | C) 1, 2 and 3 => (c) 1, 2 and 3
13 | Q2 | D) 1 and 3 only => (d) 1 and 3 only
17 | Q3 | A) 1 only => (a) 1 only
18 | Q3 | B) 2 and 3 only => (b) 2 and 3 only
19 | Q3 | C) 1 and 3 only => (c) 1 and 3 only
20 | Q3 | D) 1, 2, 3 and 4 => (d) 1, 2, 3 and 4
24 | Q4 | A) 1 and 2 only => (a) 1 and 2 only
25 | Q4 | B) 1 and 3 only => (b) 1 and 3 only
26 | Q4 | C) 2 only => (c) 2 only
27 | Q4 | D) 1, 2 and 3 => (d) 1, 2 and 3
31 | Q5 | A) 1 only => (a) 1 only
32 | Q5 | B) 2 only => (b) 2 only
33 | Q5 | C) Both 1 and 2 => (c) Both 1 and 2
34 | Q5 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
38 | Q6 | A) pledges made by the European countries to rehabilitate refugees from the war-affected Middle East => (a) pledges made by the European countries to rehabilitate refugees from the war-affected Middle East
39 | Q6 | B) plan of action outlined by the countries of the world to combat climate change => (b) plan of action outlined by the countries of the world to combat climate change
40 | Q6 | C) capital contributed by the member countries in the establishment of Asian Infrastructure Investment Bank => (c) capital contributed by the member countries in the establishment of Asian Infrastructure Investment Bank
41 | Q6 | D) plan of action outlined by the countries of the world regarding Sustainable Development Goals => (d) plan of action outlined by the countries of the world regarding Sustainable Development Goals
45 | Q7 | A) Providing technical and financial assistance to start-up entrepreneurs in the field of renewable sources of energy => (a) Providing technical and financial assistance to start-up entrepreneurs in the field of renewable sources of energy
46 | Q7 | B) Providing electricity to every household in the country by 2018 => (b) Providing electricity to every household in the country by 2018
47 | Q7 | C) Replacing the coal-based power plants with natural gas, nuclear, solar, wind and tidal power plants over a period of time => (c) Replacing the coal-based power plants with natural gas, nuclear, solar, wind and tidal power plants over a period of time
48 | Q7 | D) Providing for financial turnaround and revival of power distribution companies => (d) Providing for financial turnaround and revival of power distribution companies
52 | Q8 | A) 1 only => (a) 1 only
53 | Q8 | B) 2 only => (b) 2 only
54 | Q8 | C) Both 1 and 2 => (c) Both 1 and 2
55 | Q8 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
59 | Q9 | A) 1 only => (a) 1 only
60 | Q9 | B) 2 only => (b) 2 only
61 | Q9 | C) Both 1 and 2 => (c) Both 1 and 2
62 | Q9 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
66 | Q10 | A) Swapnavasavadatta => (a) Swapnavasavadatta
67 | Q10 | B) Malavikagnimitra => (b) Malavikagnimitra
68 | Q10 | C) Meghadoota => (c) Meghadoota
69 | Q10 | D) Ratnavali => (d) Ratnavali
73 | Q11 | A) WTO affairs => (a) WTO affairs
74 | Q11 | B) SAARC affairs => (b) SAARC affairs
75 | Q11 | C) UNFCCC affairs => (c) UNFCCC affairs
76 | Q11 | D) India-EU negotiations on FTA => (d) India-EU negotiations on FTA
80 | Q12 | A) 1 only => (a) 1 only
81 | Q12 | B) 2 and 3 only => (b) 2 and 3 only
82 | Q12 | C) 1 and 3 only => (c) 1 and 3 only
83 | Q12 | D) 1, 2 and 3 => (d) 1, 2 and 3
87 | Q13 | A) 1 only => (a) 1 only
88 | Q13 | B) 2 and 3 only => (b) 2 and 3 only
89 | Q13 | C) 1 and 3 only => (c) 1 and 3 only
90 | Q13 | D) 1, 2 and 3 => (d) 1, 2 and 3
94 | Q14 | A) Rouble => (a) Rouble
95 | Q14 | B) Rand => (b) Rand
96 | Q14 | C) Indian Rupee => (c) Indian Rupee
97 | Q14 | D) Renminbi => (d) Renminbi
101 | Q15 | A) 1 only => (a) 1 only
102 | Q15 | B) 2 only => (b) 2 only
103 | Q15 | C) Both 1 and 2 => (c) Both 1 and 2
104 | Q15 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
108 | Q16 | A) rehabilitate the homeless and destitute persons and provide them with suitable sources of livelihood => (a) rehabilitate the homeless and destitute persons and provide them with suitable sources of livelihood
109 | Q16 | B) release the sex workers from their practice and provide them with alternative sources of livelihood => (b) release the sex workers from their practice and provide them with alternative sources of livelihood
110 | Q16 | C) eradicate the practice of manual scavenging and rehabilitate the manual scavengers => (c) eradicate the practice of manual scavenging and rehabilitate the manual scavengers
111 | Q16 | D) release the bonded labourers from their bondage and rehabilitate them => (d) release the bonded labourers from their bondage and rehabilitate them
115 | Q17 | A) 1 only => (a) 1 only
116 | Q17 | B) 2 only => (b) 2 only
117 | Q17 | C) Both 1 and 2 => (c) Both 1 and 2
118 | Q17 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
122 | Q18 | A) It is the ratio of value of imports to the Gross Domestic Product of a country => (a) It is the ratio of value of imports to the Gross Domestic Product of a country
123 | Q18 | B) It is the total value of imports of a country in a year => (b) It is the total value of imports of a country in a year
124 | Q18 | C) It is the ratio between the value of exports and that of imports between two countries => (c) It is the ratio between the value of exports and that of imports between two countries
125 | Q18 | D) It is the number of months of imports that could be paid for by a country's international reserves => (d) It is the number of months of imports that could be paid for by a country's international reserves
129 | Q19 | A) 1 and 2 => (a) 1 and 2
130 | Q19 | B) 2 only => (b) 2 only
131 | Q19 | C) 2 and 3 => (c) 2 and 3
132 | Q19 | D) 3 only => (d) 3 only
136 | Q20 | A) 1 only => (a) 1 only
137 | Q20 | B) 2 and 3 only => (b) 2 and 3 only
138 | Q20 | C) 1 and 3 only => (c) 1 and 3 only
139 | Q20 | D) 1, 2 and 3 => (d) 1, 2 and 3
143 | Q21 | A) 1 only => (a) 1 only
144 | Q21 | B) 2 only => (b) 2 only
145 | Q21 | C) Both 1 and 2 => (c) Both 1 and 2
146 | Q21 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
150 | Q22 | A) Sand deserts of northwest India => (a) Sand deserts of northwest India
151 | Q22 | B) Higher Himalayas of Jammu and Kashmir => (b) Higher Himalayas of Jammu and Kashmir
152 | Q22 | C) Salt marshes of western Gujarat => (c) Salt marshes of western Gujarat
153 | Q22 | D) Western Ghats => (d) Western Ghats
157 | Q23 | A) 1 and 2 only => (a) 1 and 2 only
158 | Q23 | B) 2 and 3 only => (b) 2 and 3 only
159 | Q23 | C) 1 and 3 only => (c) 1 and 3 only
160 | Q23 | D) 1, 2 and 3 => (d) 1, 2 and 3
164 | Q24 | A) Release of Neem oil in the soil increases nitrogen fixation by the soil microorganisms => (a) Release of Neem oil in the soil increases nitrogen fixation by the soil microorganisms
165 | Q24 | B) Neem coating slows down the rate of dissolution of urea in the soil => (b) Neem coating slows down the rate of dissolution of urea in the soil
166 | Q24 | C) Nitrous oxide, which is a greenhouse gas, is not at all released into atmosphere by crop fields => (c) Nitrous oxide, which is a greenhouse gas, is not at all released into atmosphere by crop fields
167 | Q24 | D) It is a combination of a weedicide and a fertilizer for particular crops => (d) It is a combination of a weedicide and a fertilizer for particular crops
171 | Q25 | A) 1 only => (a) 1 only
172 | Q25 | B) 2 only => (b) 2 only
173 | Q25 | C) Both 1 and 2 => (c) Both 1 and 2
174 | Q25 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
178 | Q26 | A) 1 only => (a) 1 only
179 | Q26 | B) 2 only => (b) 2 only
180 | Q26 | C) Both 1 and 2 => (c) Both 1 and 2
181 | Q26 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
185 | Q27 | A) 1 and 3 only => (a) 1 and 3 only
186 | Q27 | B) 2 only => (b) 2 only
187 | Q27 | C) 2 and 3 only => (c) 2 and 3 only
188 | Q27 | D) 1, 2 and 3 => (d) 1, 2 and 3
192 | Q28 | A) 1 only => (a) 1 only
193 | Q28 | B) 2 and 3 only => (b) 2 and 3 only
194 | Q28 | C) 1 and 3 only => (c) 1 and 3 only
195 | Q28 | D) 1, 2 and 3 => (d) 1, 2 and 3
199 | Q29 | A) 1 only => (a) 1 only
200 | Q29 | B) 2 and 3 only => (b) 2 and 3 only
201 | Q29 | C) 1 and 3 only => (c) 1 and 3 only
202 | Q29 | D) 1, 2 and 3 => (d) 1, 2 and 3
206 | Q30 | A) 1 and 2 only => (a) 1 and 2 only
207 | Q30 | B) 2 and 3 only => (b) 2 and 3 only
208 | Q30 | C) 3 only => (c) 3 only
209 | Q30 | D) 1, 2 and 3 => (d) 1, 2 and 3
213 | Q31 | A) a range of enzymes used in genome editing => (a) a range of enzymes used in genome editing
214 | Q31 | B) the full range of mRNA molecules expressed by an organism => (b) the full range of mRNA molecules expressed by an organism
215 | Q31 | C) the description of the mechanism of gene expression => (c) the description of the mechanism of gene expression
216 | Q31 | D) a mechanism of genetic mutations taking place in cells => (d) a mechanism of genetic mutations taking place in cells
220 | Q32 | A) immunization of children and pregnant women => (a) immunization of children and pregnant women
221 | Q32 | B) construction of smart cities across the country => (b) construction of smart cities across the country
222 | Q32 | C) India's own search for the Earth-like planets in outer space => (c) India's own search for the Earth-like planets in outer space
223 | Q32 | D) New Educational Policy => (d) New Educational Policy
227 | Q33 | A) 1 only => (a) 1 only
228 | Q33 | B) 2 and 3 only => (b) 2 and 3 only
229 | Q33 | C) 3 only => (c) 3 only
230 | Q33 | D) 1, 2 and 3 => (d) 1, 2 and 3
234 | Q34 | A) 1, 2 and 3 => (a) 1, 2 and 3
235 | Q34 | B) 2, 3 and 4 => (b) 2, 3 and 4
236 | Q34 | C) 1, 2 and 4 => (c) 1, 2 and 4
237 | Q34 | D) 1 and 4 only => (d) 1 and 4 only
241 | Q35 | A) waste management technology => (a) waste management technology
242 | Q35 | B) wireless communication technology => (b) wireless communication technology
243 | Q35 | C) solar power production technology => (c) solar power production technology
244 | Q35 | D) water conservation technology => (d) water conservation technology
248 | Q36 | A) production and use of solar energy by the households/consumers => (a) production and use of solar energy by the households/consumers
249 | Q36 | B) use of piped natural gas in the kitchens of households => (b) use of piped natural gas in the kitchens of households
250 | Q36 | C) installation of CNG kits in motor cars => (c) installation of CNG kits in motor cars
251 | Q36 | D) installation of water meters in urban households => (d) installation of water meters in urban households
255 | Q37 | A) Organization for Economic Cooperation and Development (OECD) => (a) Organization for Economic Cooperation and Development (OECD)
256 | Q37 | B) World Economic Forum => (b) World Economic Forum
257 | Q37 | C) World Bank => (c) World Bank
258 | Q37 | D) World Trade Organization (WTO) => (d) World Trade Organization (WTO)
262 | Q38 | A) agriculturists => (a) agriculturists
263 | Q38 | B) warriors => (b) warriors
264 | Q38 | C) weavers => (c) weavers
265 | Q38 | D) traders => (d) traders
269 | Q39 | A) Georg Buhler => (a) Georg Buhler
270 | Q39 | B) James Prinsep => (b) James Prinsep
271 | Q39 | C) Max Muller => (c) Max Muller
272 | Q39 | D) William Jones => (d) William Jones
276 | Q40 | A) 1 only => (a) 1 only
277 | Q40 | B) 2 only => (b) 2 only
278 | Q40 | C) Both 1 and 2 => (c) Both 1 and 2
279 | Q40 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
283 | Q41 | A) 1 only => (a) 1 only
284 | Q41 | B) 2 only => (b) 2 only
285 | Q41 | C) Both 1 and 2 => (c) Both 1 and 2
286 | Q41 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
290 | Q42 | A) 1 only => (a) 1 only
291 | Q42 | B) 2 only => (b) 2 only
292 | Q42 | C) Both 1 and 2 => (c) Both 1 and 2
293 | Q42 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
297 | Q43 | A) 1 only => (a) 1 only
298 | Q43 | B) 2 only => (b) 2 only
299 | Q43 | C) Both 1 and 2 => (c) Both 1 and 2
300 | Q43 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
304 | Q44 | A) 1 and 2 only => (a) 1 and 2 only
305 | Q44 | B) 3 only => (b) 3 only
306 | Q44 | C) 1 and 3 only => (c) 1 and 3 only
307 | Q44 | D) 1, 2 and 3 => (d) 1, 2 and 3
311 | Q45 | A) Andaman Islands => (a) Andaman Islands
312 | Q45 | B) Anaimalai Forests => (b) Anaimalai Forests
313 | Q45 | C) Maikala Hills => (c) Maikala Hills
314 | Q45 | D) Tropical rain forests of northeast => (d) Tropical rain forests of northeast
318 | Q46 | A) Amphibious warfare ship => (a) Amphibious warfare ship
319 | Q46 | B) Nuclear-powered submarine => (b) Nuclear-powered submarine
320 | Q46 | C) Torpedo launch and recovery vessel => (c) Torpedo launch and recovery vessel
321 | Q46 | D) Nuclear-powered aircraft carrier => (d) Nuclear-powered aircraft carrier
325 | Q47 | A) Electric plane tested by NASA => (a) Electric plane tested by NASA
326 | Q47 | B) Solar-powered two-seater aircraft designed by Japan => (b) Solar-powered two-seater aircraft designed by Japan
327 | Q47 | C) Space observatory launched by China => (c) Space observatory launched by China
328 | Q47 | D) Reusable rocket designed by ISRO => (d) Reusable rocket designed by ISRO
332 | Q48 | A) 1 only => (a) 1 only
333 | Q48 | B) 2 and 3 only => (b) 2 and 3 only
334 | Q48 | C) 1 and 2 only => (c) 1 and 2 only
335 | Q48 | D) 1, 2 and 3 => (d) 1, 2 and 3
339 | Q49 | A) agitation against the Partition of Bengal => (a) agitation against the Partition of Bengal
340 | Q49 | B) Home Rule Movement => (b) Home Rule Movement
341 | Q49 | C) Non-Cooperation Movement => (c) Non-Cooperation Movement
342 | Q49 | D) visit of the Simon Commission to India => (d) visit of the Simon Commission to India
346 | Q50 | A) 1 only => (a) 1 only
347 | Q50 | B) 2 and 3 only => (b) 2 and 3 only
348 | Q50 | C) 2 only => (c) 2 only
349 | Q50 | D) 1, 2 and 3 => (d) 1, 2 and 3
353 | Q51 | A) a division of World Health Organization => (a) a division of World Health Organization
354 | Q51 | B) a non-governmental international organization => (b) a non-governmental international organization
355 | Q51 | C) an inter-governmental agency sponsored by European Union => (c) an inter-governmental agency sponsored by European Union
356 | Q51 | D) a specialised agency of the United Nations => (d) a specialised agency of the United Nations
360 | Q52 | A) 1 and 2 only => (a) 1 and 2 only
361 | Q52 | B) 3 only => (b) 3 only
362 | Q52 | C) 2 and 3 only => (c) 2 and 3 only
363 | Q52 | D) 1, 2 and 3 => (d) 1, 2 and 3
367 | Q53 | A) 1 only => (a) 1 only
368 | Q53 | B) 2 only => (b) 2 only
369 | Q53 | C) Both 1 and 2 => (c) Both 1 and 2
370 | Q53 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
374 | Q54 | A) 1 and 2 only => (a) 1 and 2 only
375 | Q54 | B) 3 only => (b) 3 only
376 | Q54 | C) 2 and 3 only => (c) 2 and 3 only
377 | Q54 | D) 1, 2 and 3 => (d) 1, 2 and 3
381 | Q55 | A) It is an international accounting tool for government and business leaders to understand, quantify and manage greenhouse gas emissions => (a) It is an international accounting tool for government and business leaders to understand, quantify and manage greenhouse gas emissions
382 | Q55 | B) It is an initiative of the United Nations to offer financial incentives to developing countries to reduce greenhouse gas emissions and to adopt eco-friendly technologies => (b) It is an initiative of the United Nations to offer financial incentives to developing countries to reduce greenhouse gas emissions and to adopt eco-friendly technologies
383 | Q55 | C) It is an inter-governmental agreement ratified by all the member countries of the United Nations to reduce greenhouse gas emissions to a specified level by the year 2022 => (c) It is an inter-governmental agreement ratified by all the member countries of the United Nations to reduce greenhouse gas emissions to a specified level by the year 2022
384 | Q55 | D) It is one of the multilateral REDD+ initiatives hosted by the World Bank => (d) It is one of the multilateral REDD+ initiatives hosted by the World Bank
388 | Q56 | A) 1 and 2 only => (a) 1 and 2 only
389 | Q56 | B) 3 only => (b) 3 only
390 | Q56 | C) 2 and 3 only => (c) 2 and 3 only
391 | Q56 | D) 1, 2 and 3 => (d) 1, 2 and 3
395 | Q57 | A) 1 only => (a) 1 only
396 | Q57 | B) 2 only => (b) 2 only
397 | Q57 | C) Both 1 and 2 => (c) Both 1 and 2
398 | Q57 | D) Neither 1 nor 2 => (d) Neither 1 nor 2
402 | Q58 | A) a movement for upliftment of tribals in Bihar => (a) a movement for upliftment of tribals in Bihar
403 | Q58 | B) a temple-entry movement in Gujarat => (b) a temple-entry movement in Gujarat
404 | Q58 | C) an anti-caste movement in Maharashtra => (c) an anti-caste movement in Maharashtra
405 | Q58 | D) a peasant movement in Punjab => (d) a peasant movement in Punjab
409 | Q59 | A) 1 and 2 only => (a) 1 and 2 only
410 | Q59 | B) 3 only => (b) 3 only
411 | Q59 | C) 1 and 3 only => (c) 1 and 3 only
412 | Q59 | D) 1, 2 and 3 => (d) 1, 2 and 3
416 | Q60 | A) mining operation by multinational companies in resource-rich but backward areas => (a) mining operation by multinational companies in resource-rich but backward areas
417 | Q60 | B) curbing of the tax evasion by multinational companies => (b) curbing of the tax evasion by multinational companies
418 | Q60 | C) exploitation of genetic resources of a country by multinational companies => (c) exploitation of genetic resources of a country by multinational companies
419 | Q60 | D) lack of consideration of environmental costs in the planning and implementation of developmental projects => (d) lack of consideration of environmental costs in the planning and implementation of developmental projects
423 | Q61 | A) Andhra Pradesh => (a) Andhra Pradesh
