"questionId","primary_concept","question_intent","cognitive_level"
"UPSC_2016_GS1_Q1","Parliamentary Procedure","Elimination Logic","L3"
"UPSC_2016_GS1_Q10","Ancient Indian Literature","Fact Recall","L1"
"UPSC_2016_GS1_Q100","Science & Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q11","WTO Agreements","Fact Recall","L1"
"UPSC_2016_GS1_Q12","Capital Budget","Elimination Logic","L3"
"UPSC_2016_GS1_Q13","UNCCD","Elimination Logic","L3"
"UPSC_2016_GS1_Q14","IMF SDR","Fact Recall","L1"
"UPSC_2016_GS1_Q15","IMFC","Elimination Logic","L3"
"UPSC_2016_GS1_Q16","Manual Scavenging Rehabilitation","Fact Recall","L1"
"UPSC_2016_GS1_Q17","Bhakti-Sufi Movements","Elimination Logic","L3"
"UPSC_2016_GS1_Q18","Import Cover","Fact Recall","L1"
"UPSC_2016_GS1_Q19","Ethnic Conflicts","Elimination Logic","L3"
"UPSC_2016_GS1_Q2","Social Welfare","Elimination Logic","L3"
"UPSC_2016_GS1_Q20","Indian History","Elimination Logic","L3"
"UPSC_2016_GS1_Q21","Government Schemes","Elimination Logic","L3"
"UPSC_2016_GS1_Q22","General Studies","Fact Recall","L1"
"UPSC_2016_GS1_Q23","Science & Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q24","Indian Culture","Fact Recall","L1"
"UPSC_2016_GS1_Q25","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q26","Government Schemes","Elimination Logic","L3"
"UPSC_2016_GS1_Q27","Agricultural Heritage Systems","Elimination Logic","L3"
"UPSC_2016_GS1_Q28","General Studies","Elimination Logic","L3"
"UPSC_2016_GS1_Q29","Banking Technology","Elimination Logic","L3"
"UPSC_2016_GS1_Q3","Macroeconomics","Elimination Logic","L3"
"UPSC_2016_GS1_Q30","Government Schemes","Elimination Logic","L3"
"UPSC_2016_CSAT_Q1","Governance Accountability","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q10","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q11","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q12","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q13","Number System","Concept Application","L3"
"UPSC_2016_CSAT_Q14","Number System","Concept Application","L3"
"UPSC_2016_CSAT_Q15","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q16","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q17","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q18","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q19","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q2","Governance Accountability","Reading Interpretation","L3"
"UPSC_2016_CSAT_Q20","Time & Work","Concept Application","L2"
"UPSC_2016_CSAT_Q21","Bioenergy Sustainability","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q22","Bioenergy Sustainability","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q23","Bioenergy Sustainability","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q24","Bioenergy Sustainability","Reading Interpretation","L3"
"UPSC_2016_CSAT_Q25","Agro-biodiversity & Food Security","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q26","Time, Speed & Distance","Concept Application","L2"
"UPSC_2016_CSAT_Q27","Number System","Concept Application","L3"
"UPSC_2016_CSAT_Q28","Ratio & Proportion","Concept Application","L2"
"UPSC_2016_CSAT_Q29","Number System","Concept Application","L2"
"UPSC_2016_CSAT_Q3","Governance Accountability","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q30","Percentage","Concept Application","L3"
"UPSC_2016_CSAT_Q31","Ratio & Proportion","Concept Application","L2"
