"error","weight","cluster","severity"
"Concept Confusion","0.1","conceptual","very_high"
"Equation Setup Error","0.005","conceptual","very_high"
"Fact Misassociation","0.15","behavioral","medium"
"Incomplete Inference","0.07","cognitive","high"
"Memory Gap","0.25","behavioral","medium"
"Misreading","0.02","behavioral","low"
"Overgeneralization","0.05","cognitive","high"
"Partial Knowledge Trap","0.35","behavioral","high"
"State Construction Failure","0.005","cognitive","very_high"
"Step Skipping","0","cognitive","very_high"
