CSAT-2017 encoding fixes (pass 4)
Format: Line | Q# | Before => After

5 | Q | Passage–1 => Passage-1
18 | Q1 | Passage–2 => Passage-2
20 | Q1 | The man who is perpetually hesitating which of the two things he will do first, will do neither. The man who resolves, but suffers his resolution to be changed by the first counter-suggestion of a friend—who fluctuates from opinion to opinion and veers from plan to plan—can never accomplish anything. He will at best be stationary and probably retrograde in all. It is only the man who first consults wisely, then resolves firmly and then executes his purpose with inflexible perseverance, undismayed by those petty difficulties which daunt a weaker spirit—that can advance to eminence in any line. => The man who is perpetually hesitating which of the two things he will do first, will do neither. The man who resolves, but suffers his resolution to be changed by the first counter-suggestion of a friend-who fluctuates from opinion to opinion and veers from plan to plan-can never accomplish anything. He will at best be stationary and probably retrograde in all. It is only the man who first consults wisely, then resolves firmly and then executes his purpose with inflexible perseverance, undismayed by those petty difficulties which daunt a weaker spirit-that can advance to eminence in any line.
31 | Q2 | Passage–3 => Passage-3
44 | Q3 | Passage–4 => Passage-4
57 | Q4 | Passage–5 => Passage-5
59 | Q4 | In the last two decades, the world’s gross domestic product (GDP) has increased by 50 per cent, whereas inclusive wealth has increased by a mere 6 per cent. In recent decades, GDP-driven economic performance has only harmed inclusive wealth like human capital and natural capital like forests, land and water. While the world’s human capital which stands at 57 per cent of total inclusive wealth grew by only 8 per cent, the natural capital which is 23 per cent of total inclusive wealth declined by 30 per cent worldwide in the last two decades. => In the last two decades, the world's gross domestic product (GDP) has increased by 50 per cent, whereas inclusive wealth has increased by a mere 6 per cent. In recent decades, GDP-driven economic performance has only harmed inclusive wealth like human capital and natural capital like forests, land and water. While the world's human capital which stands at 57 per cent of total inclusive wealth grew by only 8 per cent, the natural capital which is 23 per cent of total inclusive wealth declined by 30 per cent worldwide in the last two decades.
70 | Q5 | Passage–6 => Passage-6
72 | Q5 | By 2020, when the global economy is expected to run short of 56 million young people, India, with its youth surplus of 47 million, could fill the gap. It is in this context that labour reforms are often cited as the way to unlock double-digit growth in India. In 2014, India’s labour force was estimated to be about 40 per cent of the population, but 93 per cent of this force was in the unorganized sector. Over the last decade, the compound annual growth rate (CAGR) of employment has slowed to 0.5 per cent, with about 14 million jobs created during last year when the labour force increased by about 15 million. => By 2020, when the global economy is expected to run short of 56 million young people, India, with its youth surplus of 47 million, could fill the gap. It is in this context that labour reforms are often cited as the way to unlock double-digit growth in India. In 2014, India's labour force was estimated to be about 40 per cent of the population, but 93 per cent of this force was in the unorganized sector. Over the last decade, the compound annual growth rate (CAGR) of employment has slowed to 0.5 per cent, with about 14 million jobs created during last year when the labour force increased by about 15 million.
83 | Q6 | Passage–7 => Passage-7
85 | Q6 | The very first lesson that should be taught to us when we are old enough to understand it, is that complete freedom from the obligation to work is unnatural, and ought to be illegal, as we can escape our share of the burden of work only by throwing it on someone else’s shoulders. Nature ordains that the human race shall perish of famine if it stops working. We cannot escape from this tyranny. The question we have to settle is how much leisure we can afford to allow ourselves. => The very first lesson that should be taught to us when we are old enough to understand it, is that complete freedom from the obligation to work is unnatural, and ought to be illegal, as we can escape our share of the burden of work only by throwing it on someone else's shoulders. Nature ordains that the human race shall perish of famine if it stops working. We cannot escape from this tyranny. The question we have to settle is how much leisure we can afford to allow ourselves.
94 | Q7 | (d) human’s understanding of the nature of work is essential => (d) human's understanding of the nature of work is essential
96 | Q7 | Passage–8 => Passage-8
111 | Q8 | No supporters of ‘party X’, who knew Z and supported his campaign strategy, agreed for the alliance with ‘party Y’; but some of them had friends in ‘party Y’. => No supporters of 'party X', who knew Z and supported his campaign strategy, agreed for the alliance with 'party Y'; but some of them had friends in 'party Y'.
117 | Q9 | (a) Some supporters of ‘party Y’ did not agree for the alliance with ‘party X’ => (a) Some supporters of 'party Y' did not agree for the alliance with 'party X'
