"questionId","primary_concept","question_intent","cognitive_level"
"UPSC_2016_CSAT_Q1","Governance Accountability","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q10","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q11","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q12","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q13","Number System","Concept Application","L3"
"UPSC_2016_CSAT_Q14","Number System","Concept Application","L3"
"UPSC_2016_CSAT_Q15","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q16","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q17","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q18","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q19","Logical Reasoning","Elimination Logic","L3"
"UPSC_2016_CSAT_Q2","Governance Accountability","Reading Interpretation","L3"
"UPSC_2016_CSAT_Q20","Time & Work","Concept Application","L2"
"UPSC_2016_CSAT_Q21","Bioenergy Sustainability","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q22","Bioenergy Sustainability","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q23","Bioenergy Sustainability","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q24","Bioenergy Sustainability","Reading Interpretation","L3"
"UPSC_2016_CSAT_Q25","Agro-biodiversity & Food Security","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q26","Time, Speed & Distance","Concept Application","L2"
"UPSC_2016_CSAT_Q27","Number System","Concept Application","L3"
"UPSC_2016_CSAT_Q28","Ratio & Proportion","Concept Application","L2"
"UPSC_2016_CSAT_Q29","Number System","Concept Application","L2"
"UPSC_2016_CSAT_Q3","Governance Accountability","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q30","Percentage","Concept Application","L3"
"UPSC_2016_CSAT_Q31","Ratio & Proportion","Concept Application","L2"
"UPSC_2016_CSAT_Q32","Number System","Concept Application","L2"
"UPSC_2016_CSAT_Q33","Averages","Concept Application","L2"
"UPSC_2016_CSAT_Q34","Permutation & Combination","Concept Application","L2"
"UPSC_2016_CSAT_Q35","Permutation & Combination","Concept Application","L2"
"UPSC_2016_CSAT_Q36","Permutation & Combination","Concept Application","L2"
"UPSC_2016_CSAT_Q37","Percentage","Concept Application","L2"
"UPSC_2016_CSAT_Q38","Time, Speed & Distance","Concept Application","L2"
"UPSC_2016_CSAT_Q39","Ratio & Proportion","Concept Application","L2"
"UPSC_2016_CSAT_Q4","Governance Accountability","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q40","Permutation & Combination","Concept Application","L2"
"UPSC_2016_CSAT_Q41","Crony Capitalism","Reading Interpretation","L3"
"UPSC_2016_CSAT_Q42","Climate Adaptation & Food Security","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q43","Biodiversity & Hydrological Cycle","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q44","Financial Inclusion","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q45","Urban Sanitation & Public Health","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q46","Social Nature of Man","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q47","Political Economy","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q48","Climate Change & Land Use","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q49","Number System","Concept Application","L2"
"UPSC_2016_CSAT_Q5","Rights and Duties","Reading Interpretation","L3"
"UPSC_2016_CSAT_Q50","Number System","Concept Application","L2"
"UPSC_2016_CSAT_Q51","Averages","Concept Application","L2"
"UPSC_2016_CSAT_Q52","Percentage","Concept Application","L2"
"UPSC_2016_CSAT_Q53","Number System","Concept Application","L2"
"UPSC_2016_CSAT_Q54","Permutation & Combination","Concept Application","L2"
"UPSC_2016_CSAT_Q55","Permutation & Combination","Concept Application","L2"
"UPSC_2016_CSAT_Q56","Permutation & Combination","Concept Application","L2"
"UPSC_2016_CSAT_Q57","Number System","Concept Application","L2"
"UPSC_2016_CSAT_Q58","Time, Speed & Distance","Concept Application","L2"
"UPSC_2016_CSAT_Q59","Permutation & Combination","Concept Application","L2"
"UPSC_2016_CSAT_Q6","Rights and Duties","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q60","Time & Work","Concept Application","L2"
"UPSC_2016_CSAT_Q61","Number System","Concept Application","L2"
"UPSC_2016_CSAT_Q62","Number System","Concept Application","L2"
"UPSC_2016_CSAT_Q63","Permutation & Combination","Concept Application","L2"
"UPSC_2016_CSAT_Q64","Sustainable Diets & Resources","Reading Interpretation","L2"
"UPSC_2016_CSAT_Q65","Human Evolution & Lactose Tolerance","Reading Interpretation","L3"
