"questionId","year","subject","questionType","reasoning_type","difficulty","static_vs_dynamic","suggested_difficulty","suggested_static_vs_dynamic","suggested_reasoning_type","passage_id","suggested_passage_id","question_nature","suggested_question_nature","primary_concept","concepts","concept_suggestions","questionText"
"UPSC_2016_CSAT_Q1","2016","Polity","mcq_standard","Inference","medium","static","medium","static","elimination","CSAT_2016_P1","","","conceptual","Governance Accountability","Internal vs External Accountability; Civil Services Reform; Political Executive vs Bureaucracy","Constitutional Bodies; Emergency Provisions","According to the passage, which of the following factors led to the adverse consequences for governance/public administration? Inability of civil services to strike a balance between internal and external accountabilities Lack of sufficient professional training to the officers of All India Services Lack of proper service benefits in civil services Lack of Constitutional provisions to define the respective roles of professional civil services vis-?-vis political executive Select the correct answer using the code given below:"
"UPSC_2016_CSAT_Q21","2016","Environment","mcq_standard","Elimination","medium","static","medium","static","elimination","CSAT_2016_P2","","","conceptual","Bioenergy Sustainability","Biomass Supply Constraints; Food vs Fuel Debate; Life-cycle Emissions","Carbon Sequestration; Sustainable Agriculture","What is/are the present constraint/constraints in using biomass as fuel for power generation? Lack of sustainable supply of biomass Biomass production competes with food production Bio-energy may not always be low carbon on a life-cycle basis Select the correct answer using the code given below:"
"UPSC_2016_CSAT_Q23","2016","Environment","mcq_standard","Elimination","medium","dynamic","medium","static","elimination","CSAT_2016_P2","","","conceptual","Bioenergy Sustainability","Biomass Energy; Food vs Fuel Debate; Negative Emissions","Sustainable Agriculture","In the context of using biomass, which of the following is/are the characteristics of the sustainable production of biofuel? Biomass as a fuel for power generation could meet all the primary energy requirements of the world by 2050 Biomass as a fuel for power generation does not necessarily disrupt food and forest resources Biomass as a fuel for power generation could help in achieving negative emissions, given certain nascent technologies Select the correct answer using the code given below:"
"UPSC_2016_CSAT_Q3","2016","Polity","mcq_standard","Main Idea","medium","static","medium","static","main_idea","CSAT_2016_P1","","","conceptual","Governance Accountability","Civil Services Reform; Accountability Mechanisms","","Which one of the following is the essential message implied by this passage?"
"UPSC_2016_CSAT_Q41","2016","Geography","mcq_standard","Logical Corollary","medium","dynamic","medium","static","logical_corollary","CSAT_2016_P3","","","conceptual","Crony Capitalism","Economic Growth Constraints; Oligarchies; Governance Transparency","","Which among the following is the most logical corollary to the above passage?"
"UPSC_2016_CSAT_Q48","2016","Environment","mcq_standard","Inference","medium","static","medium","static","inference","CSAT_2016_P4","","","conceptual","Climate Change & Land Use","Greenhouse Gas Emissions; Agriculture Emissions; Deforestation","Protected Areas; Climate Change; Carbon Sequestration","Which among the following is the most logical and rational inference that can be made from the above passage?"
"UPSC_2016_GS1_Q10","2016","History","mcq_standard","","medium","static","medium","static","elimination","","","factual","factual","Ancient Indian Literature","Sanskrit Drama; Shunga Dynasty","Ancient Polities; Modern India Timeline","Which one of the following books of ancient India has the love story of the son of the founder of Sunga dynasty?"
"UPSC_2016_GS1_Q12","2016","Economy","mcq_standard","","medium","static","medium","static","elimination","","","conceptual","elimination","Capital Budget","Public Expenditure; Capital Receipts; Loans & Advances","Capital Markets","Which of the following is/are included in the capital budget of the Government of India? 1. Expenditure on acquisition of assets like roads, buildings, machinery, etc. 2. Loans received from foreign governments 3. Loans and advances granted to the States and Union Territories Select the correct answer using the code given below."
"UPSC_2016_GS1_Q27","2016","Geography","mcq_standard","","medium","static","medium","static","elimination","","","conceptual","elimination","Agricultural Heritage Systems (GIAHS)","Agro-biodiversity; Traditional Farming Systems","River Systems","The FAO accords the status of Globally Important Agricultural Heritage System (GIAHS) to traditional agricultural systems. What is the overall goal of this initiative? 1. To provide modern technology, training in modern farming methods and financial support to local communities of identified GIAHS so as to greatly enhance their agricultural productivity. 2. To identify and safeguard eco-friendly traditional farm practices and their associated landscapes, agricultural biodiversity and knowledge systems of the local communities. 3. To provide Geographical Indication status to all the varieties of agricultural produce in such identified GIAHS. Select the correct answer using the code given below."
"UPSC_2016_GS1_Q29","2016","Economy","statement_correct","","medium","static","medium","static","elimination","","","conceptual","elimination","Banking Technology","Core Banking Systems; Financial Inclusion","Banking Regulation","The term ""Core Banking Solutions"" is sometimes seen in the news. Which of the following statements best describes/describe this term? 1. It is a networking of a bank's branches which enables customers to operate their accounts from any branch of the bank on its network regardless of where they open their accounts. 2. It is an effort to increase RBI's control over commercial banks through computerisation. 3. It is a detailed procedure by which a bank with huge non-performing assets is taken over by another bank. Select the correct answer using the code given below."
