CSAT-2020 encoding fixes
Format: Line | Q# | Before => After

6 | Q | Passage – 1 => Passage - 1
15 | Q | Passage – 1 => Passage - 1
28 | Q1 | Passage – 2 => Passage - 2
37 | Q1 | Passage – 1 => Passage - 1
47 | Q2 | State should ensure that private parties do not violate the citizens’ right to privacy. => State should ensure that private parties do not violate the citizens' right to privacy.
49 | Q2 | Digital economy is not compatible with the idea of not violating the citizens’ privacy. => Digital economy is not compatible with the idea of not violating the citizens' privacy.
59 | Q2 | Passage – 3 => Passage - 3
68 | Q2 | Passage – 1 => Passage - 1
81 | Q3 | Passage – 4 => Passage - 4
90 | Q3 | Passage – 1 => Passage - 1
104 | Q4 | Passage – 5 => Passage - 5
106 | Q4 | Although most of the Genetically Modified (GM) crops cultivated now are genetically engineered for a single trait, in future, crops genetically engineered for more than one trait will be the norm. Thus, biotechnology’s role in agriculture and the regulation of the same cannot be understood solely in the context of the current generation of GM crops. Instead, there is a need to take a comprehensive look, taking into account various aspects, including socio-economic impacts, so that the potential of the technology can be harnessed while minimizing negative impacts. Given the importance of biotechnology in developing varieties that can help in climate change mitigation and adaptation, not using biotechnology as a part of the climate change action plan cannot be an option. Domestic regulation of biotechnology cannot be viewed in isolation of trade policy and obligations under various international treaties and conventions. => Although most of the Genetically Modified (GM) crops cultivated now are genetically engineered for a single trait, in future, crops genetically engineered for more than one trait will be the norm. Thus, biotechnology's role in agriculture and the regulation of the same cannot be understood solely in the context of the current generation of GM crops. Instead, there is a need to take a comprehensive look, taking into account various aspects, including socio-economic impacts, so that the potential of the technology can be harnessed while minimizing negative impacts. Given the importance of biotechnology in developing varieties that can help in climate change mitigation and adaptation, not using biotechnology as a part of the climate change action plan cannot be an option. Domestic regulation of biotechnology cannot be viewed in isolation of trade policy and obligations under various international treaties and conventions.
113 | Q4 | Passage – 1 => Passage - 1
127 | Q5 | Wider involvement of political executive in biotechnology regulation improves its effectiveness in dealing with the country’s trade policies and international obligations. => Wider involvement of political executive in biotechnology regulation improves its effectiveness in dealing with the country's trade policies and international obligations.
142 | Q5 | Passage – 1 => Passage - 1
152 | Q6 | (c) Biotechnology’s role is not confined to the current priorities of developing GM crops. => (c) Biotechnology's role is not confined to the current priorities of developing GM crops.
160 | Q6 | Passage – 1 => Passage - 1
180 | Q7 | Passage – 1 => Passage - 1
198 | Q8 | Passage – 1 => Passage - 1
206 | Q9 | p – 2016 = q + 2017 = r – 2018 = s + 2019 => p - 2016 = q + 2017 = r - 2018 = s + 2019
220 | Q9 | Passage – 1 => Passage - 1
239 | Q10 | Passage – 1 => Passage - 1
260 | Q11 | Passage – 1 => Passage - 1
278 | Q12 | Passage – 1 => Passage - 1
296 | Q13 | Passage – 1 => Passage - 1
314 | Q14 | Passage – 1 => Passage - 1
336 | Q15 | Passage – 1 => Passage - 1
355 | Q16 | Passage – 1 => Passage - 1
380 | Q17 | Passage – 1 => Passage - 1
408 | Q18 | Passage – 1 => Passage - 1
416 | Q19 | U is P’s daughter => U is P's daughter
418 | Q19 | Q is R’s mother-in-law => Q is R's mother-in-law
426 | Q19 | (a) R is U’s husband => (a) R is U's husband
427 | Q19 | (b) R is S’s wife => (b) R is S's wife
436 | Q19 | Passage – 1 => Passage - 1
449 | Q20 | You’re now holding the middle core of the paper—this is where UPSC quietly shifts from “reading” to decision-making under ambiguity. Let’s convert it clean, structured, and machine-ready 👇 => You're now holding the middle core of the paper-this is where UPSC quietly shifts from "reading" to decision-making under ambiguity. Let's convert it clean, structured, and machine-ready 👇
456 | Q20 | Passage – 1 => Passage - 1
465 | Q20 | Passage – 1 => Passage - 1
490 | Q21 | Passage – 2 => Passage - 2
492 | Q21 | Many opportunities to harness the highly skewed, seasonal and spatial distribution of monsoon flows, which occur in a four-month period from June to September annually, have been lost. Since these few months account for most of the rainfall and consequent freshwater availability, the need for holding rainwater in reservoirs, for subsequently releasing it for use over the year, is a necessity nobody can afford to overlook. Climate change will continue to affect weather conditions and create water shortages and excesses. While millions suffer from droughts and floods, waters in the country’s many rivers flow unutilized, and are discharged into the sea every year. => Many opportunities to harness the highly skewed, seasonal and spatial distribution of monsoon flows, which occur in a four-month period from June to September annually, have been lost. Since these few months account for most of the rainfall and consequent freshwater availability, the need for holding rainwater in reservoirs, for subsequently releasing it for use over the year, is a necessity nobody can afford to overlook. Climate change will continue to affect weather conditions and create water shortages and excesses. While millions suffer from droughts and floods, waters in the country's many rivers flow unutilized, and are discharged into the sea every year.
499 | Q21 | Passage – 1 => Passage - 1
525 | Q22 | Passage – 3 => Passage - 3
527 | Q22 | People will invest in education whenever they are granted the economic freedom to fully enjoy its benefits. Again, this is for the obvious reason that the return on education increases as the level of economic freedom rises. When people, thanks to lower tax rates, are allowed to retain most of the higher income that they gain from each incremental level of education, it makes eminent sense to invest in education. On the other hand, when the government decides to tax the higher income of educated individuals at even higher rates, it makes very little sense to invest in educating oneself further. The same incentives apply to parents who decide on whether to invest in their children’s education. => People will invest in education whenever they are granted the economic freedom to fully enjoy its benefits. Again, this is for the obvious reason that the return on education increases as the level of economic freedom rises. When people, thanks to lower tax rates, are allowed to retain most of the higher income that they gain from each incremental level of education, it makes eminent sense to invest in education. On the other hand, when the government decides to tax the higher income of educated individuals at even higher rates, it makes very little sense to invest in educating oneself further. The same incentives apply to parents who decide on whether to invest in their children's education.
534 | Q22 | Passage – 1 => Passage - 1
555 | Q23 | Passage – 4 => Passage - 4
564 | Q23 | Passage – 1 => Passage - 1
582 | Q24 | Passage – 1 => Passage - 1
602 | Q25 | Passage – 5 => Passage - 5
604 | Q25 | In India, agriculture still engages about half of its workforce, and about 85 percent of its farms are small and marginal. Compared to China and Vietnam, which have experienced fast structural and rural transformation, India’s story is of slow transformation. As a result, poverty reduction in India was at a much slower pace during 1988–2014, compared to China and Vietnam. India’s poverty reduction was slow during 1988–2005, but during 2005–2012, it accelerated dramatically—almost three times faster than during the earlier period. What did India do during this period? Research reveals that the relative price scenario changed significantly (by more than 50%) in favour of agriculture in the wake of rising global prices. This boosted private investments in agriculture by more than 50%. As a result, agri-GDP growth touched 4.1% during 2007–2012 as against 2.4% during 2002–2007. The net surplus of agri-trade touched $25 billion in 2013–2014; real farm wages rose by 7% per annum. All this led to an unprecedented fall in poverty. => In India, agriculture still engages about half of its workforce, and about 85 percent of its farms are small and marginal. Compared to China and Vietnam, which have experienced fast structural and rural transformation, India's story is of slow transformation. As a result, poverty reduction in India was at a much slower pace during 1988-2014, compared to China and Vietnam. India's poverty reduction was slow during 1988-2005, but during 2005-2012, it accelerated dramatically-almost three times faster than during the earlier period. What did India do during this period? Research reveals that the relative price scenario changed significantly (by more than 50%) in favour of agriculture in the wake of rising global prices. This boosted private investments in agriculture by more than 50%. As a result, agri-GDP growth touched 4.1% during 2007-2012 as against 2.4% during 2002-2007. The net surplus of agri-trade touched $25 billion in 2013-2014; real farm wages rose by 7% per annum. All this led to an unprecedented fall in poverty.
611 | Q25 | Passage – 1 => Passage - 1
625 | Q26 | Higher global prices of agricultural commodities are essential for India’s poverty reduction. => Higher global prices of agricultural commodities are essential for India's poverty reduction.
639 | Q26 | Passage – 1 => Passage - 1
658 | Q27 | Passage – 1 => Passage - 1
679 | Q28 | Passage – 1 => Passage - 1
700 | Q29 | Passage – 1 => Passage - 1
722 | Q30 | Passage – 1 => Passage - 1
740 | Q31 | Passage – 1 => Passage - 1
766 | Q32 | Passage – 1 => Passage - 1
792 | Q33 | Passage – 1 => Passage - 1
816 | Q34 | Passage – 1 => Passage - 1
842 | Q47 | Passage – 1 => Passage - 1
861 | Q48 | Passage – 1 => Passage - 1
881 | Q49 | Passage – 1 => Passage - 1
900 | Q50 | Passage – 1 => Passage - 1
918 | Q51 | Passage – 1 => Passage - 1
927 | Q52 | 1911–1921	48.1	35.5 => 1911-1921	48.1	35.5
928 | Q52 | 1921–1931	46.4	36.3 => 1921-1931	46.4	36.3
929 | Q52 | 1931–1941	45.2	31.2 => 1931-1941	45.2	31.2
930 | Q52 | 1941–1951	39.9	27.4 => 1941-1951	39.9	27.4
931 | Q52 | 1951–1961	41.7	22.8 => 1951-1961	41.7	22.8
932 | Q52 | 1961–1971	41.1	18.9 => 1961-1971	41.1	18.9
933 | Q52 | 1971–1981	37.1	14.8 => 1971-1981	37.1	14.8
938 | Q52 | (a) 1911–1921 => (a) 1911-1921
