"questionId","year","subject","questionType","reasoning_type","difficulty","static_vs_dynamic","suggested_difficulty","suggested_static_vs_dynamic","suggested_reasoning_type","passage_id","suggested_passage_id","question_nature","suggested_question_nature","primary_concept","concepts","concept_suggestions","questionText","question_intent","cognitive_level","trap_type","secondary_subject","error_prone_area","confidence_level","trend_tag","set_id","set_type"
"UPSC_2025_GS1_Q1","2025","General Studies","mcq_standard","","","","","","","","","","","Alternative Investment Funds","","",",Q1. With reference to investments, consider the following: I. Bonds II. Hedge Funds III. Stocks IV. Venture Capital How many of the above are treated as Alternative Investment Funds? (a) Only one (b) Only two (c) Only three (d) All the four","Elimination Logic","L2","Fact Twist","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2025_GS1_Q2","2025","General Studies","mcq_standard","","","","","","","","","","","RBI Income & Functions","","",",Q2. Which of the following are the sources of income for the Reserve Bank of India? I. Buying and selling Government bonds II. Buying and selling foreign currency III. Pension fund management IV. Lending to private companies V. Printing and distributing currency notes Select the correct answer using the code given below. (a) I and II only (b) II, III and IV (c) I, II, IV and V (d) I, II and V","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2025_GS1_Q3","2025","General Studies","mcq_standard","","","","","","","","","","","Enforcement Agencies & Administrative Structure","","",",Q3. With reference to the Government of India, consider the following information: I. Directorate of Enforcement Some of its functions: Enforcement of the Fugitive Economic Offenders Act, 2018 It works under: Internal Security Division-I, Ministry of Home Affairs II. Directorate of Revenue Intelligence Some of its functions: Enforces the provisions of the Customs Act, 1962 It works under: Department of Revenue, Ministry of Finance III. Directorate General of Systems and Data Management Some of its functions: Carrying out big data analytics to assist tax officers for better policy and nabbing tax evaders It works under: Department of Revenue, Ministry of Finance In how many of the above rows is the information correctly matched? (a) Only one (b) Only two (c) All the three (d) None","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2025_GS1_Q4","2025","General Studies","mcq_standard","","","","","","","","","","","Corporate Governance & ESG Reporting","","",",Q4. Consider the following statements: I. The Reserve Bank of India mandates all the listed companies in India to submit a Business Responsibility and Sustainability Report (BRSR). II. In India, a company submitting a BRSR makes disclosures in the report that are largely non-financial in nature. Which of the statements given above is/are correct? (a) I only (b) II only (c) Both I and II (d) Neither I nor II","Elimination Logic","L2","Fact Twist","","Memory Gap","High","Emerging","",""
"UPSC_2025_GS1_Q5","2025","General Studies","mcq_standard","","","","","","","","","","","Income Taxation of Agricultural Income","","",",Q5. Consider the following statements: Statement I: In India, income from allied agricultural activities like poultry farming and wool rearing in rural areas is exempted from any tax. Statement II: In India, rural agricultural land is not considered a capital asset under the provisions of the Income-tax Act, 1961. Which one of the following is correct in respect of the above statements? (a) Both Statement I and Statement II are correct and Statement II explains Statement I (b) Both Statement I and Statement II are correct but Statement II does not explain Statement I (c) Statement I is correct but Statement II is not correct (d) Statement I is not correct but Statement II is correct","Concept Application","L3","Concept Confusion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2025_GS1_Q6","2025","General Studies","mcq_standard","","","","","","","","","","","Critical Minerals & Mining Policy","","",",Q6. Consider the following statements: I. India has joined the Minerals Security Partnership as a member. II. India is a resource-rich country in all the 30 critical minerals that it has identified. III. The Parliament in 2023 has amended the Mines and Minerals (Development and Regulation) Act, 1957 empowering the Central Government to exclusively auction mining lease and composite licence for certain critical minerals. Which of the statements given above are correct? (a) I and II only (b) II and III only (c) I and III only (d) I, II and III","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2025_GS1_Q7","2025","General Studies","mcq_standard","","","","","","","","","","","Corporate Finance: Debt vs Equity","","",",Q7. Consider the following statements: Statement I: As regards returns from an investment in a company, generally, bondholders are considered to be relatively at lower risk than stockholders. Statement II: Bondholders are lenders to a company whereas stockholders are its owners. Statement III: For repayment purpose, bondholders are prioritized over stockholders by a company. Which one of the following is correct in respect of the above statements? (a) Both Statement II and Statement III are correct and both of them explain Statement I (b) Both Statement I and Statement II are correct and Statement II explains Statement I (c) Only one of the Statements II and III is correct and that explains Statement I (d) Neither Statement II nor Statement III is correct","Concept Application","L2","Concept Confusion","","Concept Confusion","High","Repeating","",""
"UPSC_2025_GS1_Q8","2025","General Studies","mcq_standard","","","","","","","","","","","Securities Markets & Derivatives","","",",Q8. Consider the following statements: I. India accounts for a very large portion of all equity option contracts traded globally, thus exhibiting a great boom. II. India's stock market has grown rapidly in the recent past even overtaking Hong Kong's at some point of time. III. There is no regulatory body either to warn the small investors about the risks of options trading or to act on unregistered financial advisors in this regard. Which of the statements given above are correct? (a) I and II only (b) II and III only (c) I and III only (d) I, II and III","Elimination Logic","L2","Fact Twist","","Partial Knowledge Trap","High","Emerging","",""
"UPSC_2025_GS1_Q9","2025","General Studies","mcq_standard","","","","","","","","","","","Circular Economy","","",",Q9. Consider the following statements: Statement I: Circular economy reduces the emissions of greenhouse gases. Statement II: Circular economy reduces the use of raw materials as inputs. Statement III: Circular economy reduces wastage in the production process. Which one of the following is correct in respect of the above statements? (a) Both Statement II and Statement III are correct and both of them explain Statement I (b) Both Statement II and Statement III are correct but only one of them explains Statement I (c) Only one of the Statements II and III is correct and that explains Statement I (d) Neither Statement II nor Statement III is correct","Concept Application","L2","Concept Confusion","","Concept Confusion","High","Repeating","",""
"UPSC_2025_GS1_Q10","2025","General Studies","mcq_standard","","","","","","","","","","","Public Finance: Capital Receipts","","",",Q10. Consider the following statements: I. Capital receipts create a liability or cause a reduction in the assets of the Government. II. Borrowings and disinvestment are capital receipts. III. Interest received on loans creates a liability of the Government. Which of the statements given above are correct? (a) I and II only (b) II and III only (c) I and III only (d) I, II and III","Elimination Logic","L2","Concept Confusion","","Partial Knowledge Trap","High","Repeating","",""
