"questionId","primary_concept","question_intent","cognitive_level","questionText","trap_type","secondary_subject","reasoning_type","error_prone_area","confidence_level","trend_tag","","","set_id","set_type"
"UPSC_2016_GS1_Q1","Legislative Procedure","Elimination Logic","L3",",1. Which of the following statements is/are correct? 1. A Bill pending in the Lok Sabha lapses on its prorogation. 2. A Bill pending in the Rajya Sabha, which has not been passed by the Lok Sabha, shall not lapse on dissolution of the Lok Sabha. Select the correct answer using the code given below. (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2 ID: UPSC_2016_GS1_Q2,","Statement Distortion","","","Concept Confusion","High","Declining","",""
"UPSC_2016_GS1_Q10","Sanskrit Drama","Fact Recall","L1",",10. Which one of the following books of ancient India has the love story of the son of the founder of Sunga dynasty? (a) Swapnavasavadatta (b) Malavikagnimitra (c) Meghadoota (d) Ratnavali ID: UPSC_2016_GS1_Q11,","None","","","Knowledge Gap","High","Declining","",""
"UPSC_2016_GS1_Q100","Panchayati Raj","Elimination Logic","L3",",100. Consider the following statements: 1. The minimum age prescribed for any person to be a member of Panchayat is 25 years. 2. A Panchayat reconstituted after premature dissolution continues only for the remainder period. Which of the statements given above is/are correct? (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2,","Statement Distortion","","","Concept Confusion","High","Declining","",""
"UPSC_2016_GS1_Q11","WTO Subsidy Framework","Fact Recall","L1",",11. In the context of which of the following do you sometimes find the terms ""amber box, blue box and green box"" in the news? (a) WTO affairs (b) SAARC affairs (c) UNFCCC affairs (d) India-EU negotiations on FTA ID: UPSC_2016_GS1_Q12,","Fact Twist","","","Concept Confusion","High","Declining","",""
"UPSC_2016_GS1_Q12","Capital vs Revenue Budget","Elimination Logic","L3",",12. Which of the following is/are included in the capital budget of the Government of India? 1. Expenditure on acquisition of assets like roads, buildings, machinery, etc. 2. Loans received from foreign governments 3. Loans and advances granted to the States and Union Territories Select the correct answer using the code given below. (a) 1 only (b) 2 and 3 only (c) 1 and 3 only (d) 1, 2 and 3 ID: UPSC_2016_GS1_Q13,","Concept Confusion","","","Concept Confusion","High","Declining","",""
"UPSC_2016_GS1_Q13","UNCCD","Elimination Logic","L3",",13. What is/are the importance/importance of the ""United Nations Convention to Combat Desertification""? 1. It aims to promote effective action through innovative national programmes and supportive international partnerships. 2. It has a special/particular focus on South Asia and North Africa regions, and its Secretariat facilitates the allocation of major portion of financial resources to these regions. 3. It is committed to bottom-up approach, encouraging the participation of local people in combating the desertification. Select the correct answer using the code given below. (a) 1 only (b) 2 and 3 only (c) 1 and 3 only (d) 1, 2 and 3 ID: UPSC_2016_GS1_Q14,","Statement Distortion","","","Concept Confusion","High","Declining","",""
"UPSC_2016_GS1_Q14","IMF SDR Basket","Fact Recall","L1",",14. Recently, which one of the following currencies has been proposed to be added to the basket of IMF's SDR? (a) Rouble (b) Rand (c) Indian Rupee (d) Renminbi ID: UPSC_2016_GS1_Q15,","Fact Twist","","","Concept Confusion","High","Declining","",""
"UPSC_2016_GS1_Q15","IMFC","Elimination Logic","L3",",15. With reference to the International Monetary and Financial Committee (IMFC), consider the following statements: 1. IMFC discusses matters of concern affecting the global economy, and advises the International Monetary Fund (IMF) on the direction of its work. 2. The World Bank participates as observer in IMFC meetings. Which of the statements given above is/are correct? (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2 ID: UPSC_2016_GS1_Q16,","Statement Distortion","","","Concept Confusion","High","Declining","",""
"UPSC_2016_GS1_Q16","Social Justice Schemes","Fact Recall","L1",",16. ""Rashtriya Garima Abhiyan"" is a national campaign to (a) rehabilitate the homeless and destitute persons and provide them with suitable sources of livelihood (b) release the sex workers from their practice and provide them with alternative sources of livelihood (c) eradicate the practice of manual scavenging and rehabilitate the manual scavengers (d) release the bonded labourers from their bondage and rehabilitate them ID: UPSC_2016_GS1_Q17,","Fact Twist","","","Concept Confusion","High","Declining","",""
"UPSC_2016_GS1_Q17","Bhakti-Sufi Movements","Elimination Logic","L3",",17. With reference to the cultural history of medieval India, consider the following statements: 1. Siddhas of the Tamil region were monotheistic and condemned idolatry. 2. Lingayats of Kannada region questioned the theory of rebirth and rejected the caste hierarchy. Which of the statements given above is/are correct? (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2 ID: UPSC_2016_GS1_Q18,","Statement Distortion","","","Concept Confusion","High","Declining","",""
