"from_error","to_error","weight","type"
"Concept Confusion","Equation Setup Error","0.3","progression"
"Concept Confusion","Overgeneralization","0.2","progression"
"Concept Confusion","Partial Knowledge Trap","0.2","progression"
"Concept Confusion","State Construction Failure","0.3","progression"
"Equation Setup Error","Concept Confusion","0.3","progression"
"Equation Setup Error","Partial Knowledge Trap","0.3","progression"
"Equation Setup Error","State Construction Failure","0.4","progression"
"Fact Misassociation","Fact Misassociation","0.3","reinforcement"
"Fact Misassociation","Memory Gap","0.2","progression"
"Fact Misassociation","Partial Knowledge Trap","0.5","progression"
"Incomplete Inference","Incomplete Inference","0.3","reinforcement"
"Incomplete Inference","Overgeneralization","0.3","progression"
"Incomplete Inference","Partial Knowledge Trap","0.4","progression"
"Memory Gap","Fact Misassociation","0.25","progression"
"Memory Gap","Misreading","0.1","progression"
"Memory Gap","Partial Knowledge Trap","0.65","progression"
"Misreading","Incomplete Inference","0.4","progression"
"Misreading","Memory Gap","0.1","progression"
"Misreading","Misreading","0.2","reinforcement"
"Misreading","Partial Knowledge Trap","0.3","progression"
"Overgeneralization","Incomplete Inference","0.4","progression"
"Overgeneralization","Overgeneralization","0.3","reinforcement"
"Overgeneralization","Partial Knowledge Trap","0.3","progression"
"Partial Knowledge Trap","Fact Misassociation","0.2","progression"
"Partial Knowledge Trap","Incomplete Inference","0.2","progression"
"Partial Knowledge Trap","Overgeneralization","0.2","progression"
"Partial Knowledge Trap","Partial Knowledge Trap","0.4","reinforcement"
"State Construction Failure","Concept Confusion","0.3","progression"
"State Construction Failure","Partial Knowledge Trap","0.3","progression"
"State Construction Failure","Step Skipping","0.4","progression"
