"concept","frequency"
"3D Geometry","1"
"3D Visualization","3"
"Adaptation Funding","1"
"Adult-Child Equivalence","1"
"Age","1"
"Age Problems","3"
"Agricultural Employment","1"
"Agricultural Extension","1"
"Agricultural Productivity","1"
"Agriculture Dependence & Demography","1"
"Agriculture Emissions","1"
"Agro-biodiversity","1"
"Agro-biodiversity & Food Security","1"
"Agrobiodiversity Loss","1"
"Air Pollution & AQI","1"
"Air Quality Index","1"
"Algebra","3"
"Algebraic Comparison","1"
"Algebraic Reasoning","1"
"Allowances","1"
"Antarctic Climate Change","1"
"Arctic Geopolitics & Resources","1"
"Arctic Sea Ice","1"
"Area","1"
"Area Probability","1"
"Arithmetic Logic","1"
"Arithmetic Progression","2"
"Arithmetic Series","1"
"Arrangement Logic","1"
"Arrangement Restrictions","1"
"Arrangements","1"
"Aspirations","1"
"Assignment Constraints","10"
"Average","3"
"Average Weight","1"
"Banking Access","1"
"Banking Correspondents","1"
"Bar Graph","1"
"Basic Probability","1"
"Behavioral Habits","1"
"Best-Worst","1"
"Big Data & Digital Sovereignty","2"
"Binary Sequences","1"
"Binary Strings","1"
"Biodiversity","1"
"Biodiversity & Climate Adaptation","2"
"Biodiversity & Hydrological Cycle","1"
"Bioenergy Sustainability","4"
"Biomass Energy","2"
"Biomass Limits","1"
"Birth Rate","1"
"Birth/Death Rates","1"
"Blood Relations","2"
"Borrowing","1"
"Botanical Pesticides & Sustainable Agriculture","1"
"Broken Tree","1"
"Calendar","3"
"Calendar Arithmetic","1"
"Capacity","1"
"Carbon Cycle & Soil Carbon","1"
"Carbon Sequestration","1"
"Child Nutrition","2"
"Circles","2"
"Circular","2"
"Circular Motion","2"
"Citizen Rights","1"
"Citizenship Duties","1"
"Civic Participation & Voting Duty","1"
"Civil Services Reform","4"
"Clean Cooking Fuels","1"
"Climate Adaptation","1"
"Climate Adaptation & Food Security","1"
"Climate Change","1"
"Climate Change & Agriculture","1"
"Climate Change & Land Use","1"
"Climate Change & Migration","1"
"Climate Change & Polar Ecosystems","1"
"Climate Change & Resource Conflicts","1"
"Climate Finance & Policy","1"
"Climate Refugees","1"
"Climate Risk & Investments","1"
"Climate Vulnerability","2"
"Climate-Energy Models","1"
"Clock Error","2"
"CO2 Feedbacks","1"
"Code Patterns","2"
"Coding-Decoding","1"
"Coin Change","1"
"Color Arrangements","1"
"Combinations","2"
"Combinatorics","3"
"Combined Work","1"
"Communalism","1"
"Community Solidarity","2"
"Comparative Analysis","1"
"Comparative Statements","2"
"Comparison","1"
"Concentration","1"
"Conclusions","2"
"Consent of the Governed","1"
"Conservation of Quantity","1"
"Constraint Satisfaction","1"
"Constraints","6"
"Consumerism & Environmental Sustainability","1"
"Coordinate Movement","1"
"Coordinates","1"
"Corrected Mean","1"
"Cost Price","1"
"Cost Ratios","1"
"Cost-Volume","1"
"Counting","9"
"Counting Parallelograms","1"
"Counting Triangles","1"
"Creativity","1"
"Crony Capitalism","1"
"Crop Diversity","1"
"Crop Diversity & Food Security","1"
"Crop Resilience","2"
"Crop Shifts","1"
"Cube","1"
"Cubes","2"
"Curricular Reform","5"
"Cybersecurity","1"
"Cyclic Scheduling","1"
"Data Monopoly","2"
"Data Sufficiency","1"
"Dates","1"
"Death Rate","1"
"Decision-Making","1"
"Decision-Making & Perseverance","1"
"Deductive Logic","2"
"Defect Percentage","1"
"Deforestation","1"
"Democratic Leadership","1"
"Democratic Legitimacy","1"
"Democratic Political Maturity","1"
"Demography","1"
"Dependency Ratio","1"
"Desertification & Deforestation","3"
"Development Needs","1"
"Device Vulnerabilities","1"
"Devolution & Decentralization","1"
"Diagonal","1"
"Diagonals","1"
"Dictatorship","1"
"Dietary Choices","1"
"Difference","1"
