"Source","Target","Weight"
"Ethanol Production","Sugarcane vs Corn","1"
"Agricultural Income & Taxation","Capital Asset Exemption","1"
"Intangible Assets","Intellectual Property","1"
"Raja Ram Mohan Roy","Social Reform","1"
"Money Multiplier","Reserve Ratios","1"
"Right to Education","NCTE","1"
"Democracy & Administrative Competence","Governance Capacity","1"
"Capital Markets Components","Call Money","1"
"Reservoir Management & Flood Control","Hydropower Dependence","1"
"Troposphere Thickness","Convection","1"
"Number System","Two Subjects","1"
"State and Liberty","Political Philosophy","1"
"Indian Patents Act","Biological Processes","1"
"Ratio & Proportion","Share Comparison","1"
"Logical Reasoning","Coding-Decoding","2"
"Rajya Sabha Powers","Constitutional Amendment","1"
"State Formation & Features","Tripura","1"
"3D Printing Applications","Bioprinting","1"
"Regulation & Economic Growth","Economic Competitiveness","2"
"Smallholder Farmers & Climate Risk","Food Security","2"
"Poverty Line Methodology","State Variations","1"
"Waste-to-Energy Technologies","Pyrolysis","1"
"Election Commission of India","Party Splits","1"
"India-EU Trade Agreement","BTIA","1"
"Logical Reasoning","Range","1"
"Urban Planning Education","Planning Curriculum","1"
"Historical Places & Present States","Bhilsa","1"
"Obesity & Dieting","Lifestyle Habits","1"
"Logical Reasoning","Path Tracking","1"
"Biotechnology","Cloning","1"
"Pollination Ecology","Natural Vegetation","1"
"Anaemia Mukt Bharat","Deworming","1"
"Metagenomics","Air Samples","1"
"Mahajanapadas & Rivers","Avanti","1"
"Digital Signatures","Integrity","1"
"Logical Reasoning","Order","1"
"Jain Sects","Jainism","1"
"Food Security vs Trade Rules","MSP Subsidies","1"
"Number System","Circle","1"
"Ancient Indian Literature","Sanskrit Drama","1"
"Constitution Amendment Ratification","Seventh Schedule","1"
"Number System","Date","1"
"Political Economy","Politics-Economics Interdependence","1"
"Parliamentary System","Collective Responsibility","1"
"Resource-Rich Countries","Indonesia Nickel","1"
"Zero Tillage","Residue Management","1"
"Financial Markets Regulation","Debt Platforms","1"
"SUMED Pipeline","Oil Route","1"
"Number System","Blood Relations","1"
"Percentage","Inequalities","1"
"Preamble Legal Status","Kesavananda Bharati","1"
"Time & Work","Ratio of Wages","1"
"Number System","Negative Powers","1"
"Indian Physiography","Himalayas","1"
"Indian State Geography","Interstate Connectivity","1"
"Political Parties & Leaders","CFD","1"
"Permutation & Combination","Minimization","1"
"AI Action Summit 2025","Bletchley","1"
"Corporate Capitalism & Growth","Structural Transformation","1"
"Atal Innovation Mission","Innovation Ecosystem","1"
"Constituent Assembly Leadership","Sachchidananda Sinha","1"
"Urban Sanitation & Public Health","Manual Scavenging","1"
"Permutation & Combination","Place Value","1"
"Indo-Islamic Architecture","Fatehpur Sikri","1"
"Economic Development vs Growth","Unemployment","1"
"Portuguese Fort at Bhatkal","Vijayanagara","1"
"Percentage","Score Analysis","1"
"Nitrogen-fixing Plants","Clover","1"
"Dyarchy","Justice","1"
"Cloud Radiative Effects","Warming/Cooling","1"
"Wetlands & Ramsar","Ramsar Convention","1"
"Radar Applications","Tracking","1"
"Time, Speed & Distance","Differences","1"
"India?s Memberships","SCO","1"
"Pulses & Sustainable Agriculture","Stubble Burning","1"
"Number System","Surface Colors","1"
"Permutation & Combination","Arithmetic Operations","1"
"Human Capital Formation","Intangible Capital","1"
"Tea-Producing States","Himachal Pradesh","1"
"Global Climate Change Alliance","Climate Finance","1"
"Averages","Weighted Mean","1"
"UNESCO Intangible Heritage","Garba","1"
"Social Capital","Social Cohesion","1"
"Judicial Review","Judicial Powers","1"
"Capital Flight & ECBs","Currency Risk","1"
"15th Finance Commission Recommendations","Grants","1"
"Continental Drift Evidence","Rock Match","1"
"Inequality & Economic Power","Income Inequality","1"
"Intellectual Property Rights Policy","DIPP","1"
"Quality Council of India","Quality Standards","1"
"Number System","Last Digit","1"
