"source","target","weight","edge_type"
"3D Geometry","Counting Triangles","1","cooccurrence"
"3D Visualization","Logical Deduction (Constraint System)","3","cooccurrence"
"3D Visualization","Opposite Faces","3","cooccurrence"
"Adaptation Funding","Climate Finance & Policy","1","cooccurrence"
"Adaptation Funding","Development Needs","1","cooccurrence"
"Adult-Child Equivalence","Linear Ratio","1","cooccurrence"
"Age","Age Problems","1","cooccurrence"
"Age","Average","1","cooccurrence"
"Age","Logical Deduction (Constraint System)","1","cooccurrence"
"Age Problems","Average","1","cooccurrence"
"Age Problems","Linear Equations","1","cooccurrence"
"Age Problems","Logical Deduction (Constraint System)","3","cooccurrence"
"Age Problems","Ratio","1","cooccurrence"
"Agricultural Employment","Agriculture Dependence & Demography","1","cooccurrence"
"Agricultural Employment","Population Growth","1","cooccurrence"
"Agricultural Extension","Climate Adaptation & Food Security","1","cooccurrence"
"Agricultural Extension","Integrated Pest Management","1","cooccurrence"
"Agricultural Productivity","Food Security & Nutrition","1","cooccurrence"
"Agricultural Productivity","Malnutrition","1","cooccurrence"
"Agriculture Dependence & Demography","Population Growth","1","cooccurrence"
"Agriculture Emissions","Climate Change & Land Use","1","cooccurrence"
"Agriculture Emissions","Deforestation","1","cooccurrence"
"Agro-biodiversity","Ecoagriculture & Biodiversity","1","cooccurrence"
"Agro-biodiversity","Sustainable Farming","1","cooccurrence"
"Agro-biodiversity & Food Security","Green Revolution","1","cooccurrence"
"Agro-biodiversity & Food Security","Monocropping","1","cooccurrence"
"Agrobiodiversity Loss","Crop Diversity","1","cooccurrence"
"Agrobiodiversity Loss","Food Security","1","cooccurrence"
"Air Pollution & AQI","Air Quality Index","1","cooccurrence"
"Air Pollution & AQI","Health Impacts of Air Pollution","1","cooccurrence"
"Air Quality Index","Health Impacts of Air Pollution","1","cooccurrence"
"Algebra","Divisibility Rule","1","cooccurrence"
"Algebra","Logical Deduction (Constraint System)","3","cooccurrence"
"Algebra","Max Area","1","cooccurrence"
"Algebra","Word Problems","1","cooccurrence"
"Algebraic Comparison","Fractions","1","cooccurrence"
"Algebraic Comparison","Logical Deduction (Constraint System)","1","cooccurrence"
"Algebraic Reasoning","Income Comparison","1","cooccurrence"
"Allowances","Logical Deduction (Constraint System)","1","cooccurrence"
"Allowances","Ratio","1","cooccurrence"
"Antarctic Climate Change","Glacier Melt","1","cooccurrence"
"Antarctic Climate Change","Marine Biodiversity","1","cooccurrence"
"Arctic Geopolitics & Resources","Polar Governance","1","cooccurrence"
"Arctic Geopolitics & Resources","Resource Competition","1","cooccurrence"
"Arctic Sea Ice","Climate Change & Polar Ecosystems","1","cooccurrence"
"Arctic Sea Ice","Polar Bears","1","cooccurrence"
"Area","Diagonal","1","cooccurrence"
"Area","Logical Deduction (Constraint System)","1","cooccurrence"
"Area","Squares","1","cooccurrence"
"Area Probability","Circles","1","cooccurrence"
"Arithmetic Logic","Logical Deduction (Constraint System)","1","cooccurrence"
"Arithmetic Logic","Pattern Recognition","1","cooccurrence"
"Arithmetic Progression","Logical Deduction (Constraint System)","2","cooccurrence"
"Arithmetic Progression","Mean of Consecutive Numbers","1","cooccurrence"
"Arithmetic Progression","Time Measurement","1","cooccurrence"
"Arithmetic Series","Sum of Distances","1","cooccurrence"
"Arrangement Restrictions","Counting","1","cooccurrence"
"Arrangement Restrictions","Logical Deduction (Constraint System)","1","cooccurrence"
"Arrangements","Logical Deduction (Constraint System)","1","cooccurrence"
"Arrangements","Restrictions","1","cooccurrence"
"Aspirations","Consumerism & Environmental Sustainability","1","cooccurrence"
"Aspirations","Ecological Limits","1","cooccurrence"
"Assignment Constraints","Logic Grid","9","cooccurrence"
"Assignment Constraints","Logic Puzzles","10","cooccurrence"
"Assignment Constraints","Set Relations","1","cooccurrence"
"Average","Income","1","cooccurrence"
"Average","Logical Deduction (Constraint System)","3","cooccurrence"
"Average","Ratio","1","cooccurrence"
"Average Weight","Family","1","cooccurrence"
"Average Weight","Logical Deduction (Constraint System)","1","cooccurrence"
"Banking Access","Financial Inclusion","1","cooccurrence"
"Banking Access","Inclusive Finance","1","cooccurrence"
"Banking Correspondents","Financial Inclusion","1","cooccurrence"
"Banking Correspondents","Financial Literacy","1","cooccurrence"
"Bar Graph","Difference Calculation","1","cooccurrence"
"Bar Graph","Graph","1","cooccurrence"
"Bar Graph","Logical Deduction (Constraint System)","1","cooccurrence"
"Basic Probability","Logical Deduction (Constraint System)","1","cooccurrence"
"Basic Probability","Weighted Outcomes","1","cooccurrence"
"Behavioral Habits","Habit Formation","1","cooccurrence"
"Behavioral Habits","Routine & Efficiency","1","cooccurrence"
"Best-Worst","Positional Reasoning","1","cooccurrence"
"Big Data & Digital Sovereignty","Data Monopoly","2","cooccurrence"
"Big Data & Digital Sovereignty","Digital Trade","2","cooccurrence"
"Binary Sequences","Binary Strings","1","cooccurrence"
"Binary Sequences","Combinatorics","1","cooccurrence"
"Binary Sequences","Logical Deduction (Constraint System)","1","cooccurrence"
"Binary Strings","Combinatorics","1","cooccurrence"
"Binary Strings","Logical Deduction (Constraint System)","1","cooccurrence"
"Biodiversity","Disturbed Habitats","1","cooccurrence"
"Biodiversity","Invasive Species","1","cooccurrence"
"Biodiversity & Climate Adaptation","Ecosystem Resilience","2","cooccurrence"
"Biodiversity & Climate Adaptation","Genetic Diversity","2","cooccurrence"
"Biodiversity & Hydrological Cycle","Ecosystem Services","1","cooccurrence"
"Biodiversity & Hydrological Cycle","Water Cycle","1","cooccurrence"
"Bioenergy Sustainability","Biomass Energy","2","cooccurrence"
"Bioenergy Sustainability","Biomass Limits","1","cooccurrence"
"Bioenergy Sustainability","Climate-Energy Models","1","cooccurrence"
"Bioenergy Sustainability","Food Security","1","cooccurrence"
"Bioenergy Sustainability","Food vs Fuel","1","cooccurrence"
"Bioenergy Sustainability","Negative Emissions","1","cooccurrence"
"Bioenergy Sustainability","Sustainable Biofuels","1","cooccurrence"
"Biomass Energy","Food Security","1","cooccurrence"
"Biomass Energy","Food vs Fuel","1","cooccurrence"
"Biomass Limits","Climate-Energy Models","1","cooccurrence"
"Birth Rate","Death Rate","1","cooccurrence"
"Birth Rate","Migration","1","cooccurrence"
"Birth/Death Rates","Population","1","cooccurrence"
"Birth/Death Rates","Trend Analysis","1","cooccurrence"
"Blood Relations","Family Tree","2","cooccurrence"
"Blood Relations","Logical Deductions","1","cooccurrence"
"Blood Relations","Relation Symbols","1","cooccurrence"
"Borrowing","Logical Deduction (Constraint System)","1","cooccurrence"
"Borrowing","Percent Shortfall","1","cooccurrence"
"Botanical Pesticides & Sustainable Agriculture","Ecological Balance","1","cooccurrence"
"Botanical Pesticides & Sustainable Agriculture","Synthetic Pesticides","1","cooccurrence"
"Broken Tree","Distance","1","cooccurrence"
"Broken Tree","Right Triangle","1","cooccurrence"
"Calendar","Dates","1","cooccurrence"
"Calendar","Leap Year","1","cooccurrence"
"Calendar","Logical Deduction (Constraint System)","3","cooccurrence"
"Calendar","Pattern Recognition","1","cooccurrence"
"Calendar","Weekday Counting","1","cooccurrence"
"Calendar Arithmetic","Weekday Counting","1","cooccurrence"
"Capacity","Logical Deduction (Constraint System)","1","cooccurrence"
"Capacity","Volume","1","cooccurrence"
"Carbon Cycle & Soil Carbon","CO2 Feedbacks","1","cooccurrence"
"Carbon Cycle & Soil Carbon","Soil Carbon","1","cooccurrence"
"Carbon Sequestration","Soil Degradation","1","cooccurrence"
"Carbon Sequestration","Soil Erosion & Food Security","1","cooccurrence"
"Child Nutrition","Gut Microbiome","2","cooccurrence"
"Child Nutrition","Microbiome & Malnutrition","2","cooccurrence"
"Circles","Combinatorics","1","cooccurrence"
"Circles","Equilateral Triangles","1","cooccurrence"
"Circles","Logical Deduction (Constraint System)","1","cooccurrence"
"Circular","Circular Motion","2","cooccurrence"
"Circular","Logical Deduction (Constraint System)","1","cooccurrence"
"Circular","Relative Speed","2","cooccurrence"
"Circular Motion","Logical Deduction (Constraint System)","1","cooccurrence"
"Circular Motion","Relative Speed","2","cooccurrence"
"Citizen Rights","Political Theory","1","cooccurrence"
"Citizenship Duties","Communalism","1","cooccurrence"
"Citizenship Duties","National Integration & Civic Responsibility","1","cooccurrence"
"Citizenship Duties","Social Cohesion","1","cooccurrence"
"Civic Participation & Voting Duty","Electoral Responsibility","1","cooccurrence"
"Civic Participation & Voting Duty","Political Participation","1","cooccurrence"
"Civil Services Reform","Governance Accountability","4","cooccurrence"
"Civil Services Reform","Internal vs External Accountability","4","cooccurrence"
"Clean Cooking Fuels","Health Impacts","1","cooccurrence"
"Clean Cooking Fuels","Household Air Pollution","1","cooccurrence"
"Climate Adaptation","Climate Change & Agriculture","1","cooccurrence"
"Climate Adaptation","Crop Shifts","1","cooccurrence"
"Climate Adaptation & Food Security","Integrated Pest Management","1","cooccurrence"
"Climate Change","Crop Diversity & Food Security","1","cooccurrence"
"Climate Change","Monoculture Risks","1","cooccurrence"
"Climate Change & Agriculture","Crop Shifts","1","cooccurrence"
"Climate Change & Land Use","Deforestation","1","cooccurrence"
"Climate Change & Migration","Climate Refugees","1","cooccurrence"
"Climate Change & Migration","Environmental Risk","1","cooccurrence"
"Climate Change & Polar Ecosystems","Polar Bears","1","cooccurrence"
"Climate Change & Resource Conflicts","Political Conflict","1","cooccurrence"
"Climate Change & Resource Conflicts","Resource Scarcity","1","cooccurrence"
"Climate Change & Resource Conflicts","Water Conflicts","1","cooccurrence"
"Climate Finance & Policy","Development Needs","1","cooccurrence"
"Climate Refugees","Environmental Risk","1","cooccurrence"
"Climate Risk & Investments","Extreme Weather","1","cooccurrence"
"Climate Risk & Investments","Stranded Assets","1","cooccurrence"
"Climate Vulnerability","Food Security","2","cooccurrence"
"Climate Vulnerability","Smallholder Farmers & Climate Risk","2","cooccurrence"
"Clock Error","Logical Deduction (Constraint System)","2","cooccurrence"
"Clock Error","Time Difference","2","cooccurrence"
"CO2 Feedbacks","Soil Carbon","1","cooccurrence"
"Code Patterns","Letter Substitution","1","cooccurrence"
"Code Patterns","Letter-Number Mapping","1","cooccurrence"
"Code Patterns","Logical Deduction (Constraint System)","2","cooccurrence"
"Coding-Decoding","Symbol-Number Mapping","1","cooccurrence"
"Coin Change","Combinations","1","cooccurrence"
"Coin Change","Logical Deduction (Constraint System)","1","cooccurrence"
"Color Arrangements","Counting","1","cooccurrence"
