"Rank","Concept","Total","Priority"
"1","Number System","264",""
"2","Logical Reasoning","106",""
"3","Permutation & Combination","51",""
"4","RBI Governance","45",""
"5","Casual Workers & Labour Laws","45",""
"6","Time, Speed & Distance","26",""
"7","Ratio & Proportion","23",""
"8","Percentage","23",""
"9","Averages","17",""
"10","Macroeconomics","10",""
"11","Countercyclical Fiscal Policy","10",""
"12","Government Schemes","9",""
"13","Time & Work","8",""
"14","Profit & Loss","8",""
"15","Conservation & Biodiversity","5",""
"16","Leader of Opposition","5",""
"17","Xerophytic Adaptations","5",""
"18","Right to Education & Quality","5",""
"19","Agricultural Households","5",""
"20","Parliamentary Procedure","4",""
"21","Bioenergy Sustainability","4",""
"22","Governance Accountability","4",""
"23","Global Food Security","4",""
"24","Indian Federalism","3",""
"25","Environmental Institutions","3",""
"26","Desertification & Deforestation","3",""
"27","Financial Inclusion","3",""
"28","Environmental Management","3",""
"29","Agricultural Technology & Food Security","3",""
"30","Rights and Duties","3",""
"31","Evolution & Natural Selection","3",""
"32","Urban Water Governance","2",""
"33","Constitutional Bodies","2",""
"34","Biodiversity & Climate Adaptation","2",""
"35","Regulation & Economic Growth","2",""
"36","Sustainable Development & Energy Transition","2",""
"37","Buddhist Sects","2",""
"38","Ninth Schedule & Judicial Review","2",""
"39","Parliamentary System","2",""
"40","Net-Zero Transition","2",""
"41","Happiness & Gift-Giving","2",""
"42","Biotechnology Regulation & GM Crops","2",""
"43","Education System & Learning Outcomes","2",""
"44","Wildlife Corridors & Conservation","2",""
"45","GM Technology & IPR","2",""
"46","Education Outcomes & Skills","2",""
"47","Municipal Waste Management","2",""
"48","Higher Education Pedagogy","2",""
"49","President's Rule","2",""
"50","Economic Insecurity & Inequality","2",""
"51","Invasive Species","2",""
"52","Space-based Gravitational Wave Astronomy","2",""
"53","Energy Transition & Renewables","2",""
"54","Big Data & Digital Sovereignty","2",""
"55","Corporate Capitalism & Growth","2",""
"56","Science and Society","2",""
"57","State-Level Climate Action","2",""
"58","Organic Farming Risks","2",""
"59","Fiscal-Monetary Policy Interaction","2",""
"60","Himalayan National Parks","2",""
"61","Food Conversion Efficiency","2",""
"62","Green Technology Transition","2",""
"63","Wildlife Protection Act","2",""
"64","Capital Adequacy Ratio","2",""
"65","Truthfulness & Morality","2",""
"66","Agricultural Transformation & Poverty Reduction","2",""
"67","Government of India Act 1935","2",""
"68","Smallholder Farmers & Climate Risk","2",""
"69","Economic Liberalization & Role of State","2",""
"70","Crop Disease Risk & Genetic Diversity","2",""
"71","Demographic Dividend","2",""
"72","Summer Solstice","2",""
"73","Urban Planning Education","2",""
"74","Historical Injustice & Social Discrimination","2",""
"75","Food Loss & Waste","2",""
"76","Regions & Countries","2",""
"77","Indian National Movement","2",""
"78","Handloom Sector Modernization","2",""
"79","Physical Geography","2",""
"80","Conflict Regions","2",""
"81","Microbiome & Malnutrition","2",""
"82","Stressed Assets Resolution","2",""
"83","Opposition in Democracy","2",""
"84","Circular Economy & Battery Recycling","2",""
"85","Adolescent Psychology & Parenting","2",""
"86","Overwork & Self-Improvement","2",""
"87","Value of Research","2",""
"88","Agriculture vs Non-Agriculture Growth","2",""
"89","Parliamentary Procedures","2",""
"90","Data Privacy & IoT","2",""
"91","Social Media & Democracy","2",""
"92","Cultural Relativism & Universal Values","2",""
"93","Ecosystem Conservation vs Livelihoods","2",""
"94","Agroecology","1",""
"95","Coal Sector Nationalization","1",""
"96","Coastal Geomorphology","1",""
"97","Non-Cooperation Programme","1",""
"98","UN Convention against Corruption","1",""
"99","Animal Habitats","1",""
"100","Foundational Learning & Education","1",""
"101","Software as a Service","1",""
"102","Recirculating Aquaculture System","1",""
"103","Tropical Peatlands","1",""
"104","Famine in Somalia","1",""
"105","Digital Payments","1",""
"106","Solid Waste Management Rules 2016","1",""
"107","Vijayanagara Temple Architecture","1",""
"108","Ayushman Bharat Digital Mission","1",""
"109","Sustainable Road Construction","1",""
"110","Activated Carbon Adsorption","1",""
"111","Commercialization of Agriculture","1",""
"112","Effective Exchange Rate","1",""
"113","Kharif Crops Area","1",""
"114","Organization of Turkic States","1",""
"115","Civil Society & State","1",""
"116","Ecosystem Resilience & Climate Change","1",""
"117","India Sanitation Coalition; NIUA","1",""
"118","Sea Turtles & Marine Reptiles","1",""
"119","Fuel Cell Vehicles Emissions","1",""
"120","Constitution Amendment Procedure","1",""
