CSAT-2017 question number fixes
Format: Line | Before => After

148 | 12. => Q12.
157 | 13. => Q13.
172 | 14. => Q14.
183 | 15. => Q15.
197 | 16. => Q16.
214 | 17. => Q17.
225 | 18. => Q18.
234 | 19. => Q19.
246 | 20. => Q20.
262 | 21. The challenge the author of the above passage throws to the public is to achieve => Q21. / The challenge the author of the above passage throws to the public is to achieve
272 | 22. In the light of the above passage, the nature of General Will is best described as => Q22. / In the light of the above passage, the nature of General Will is best described as
282 | 23. What does the above passage imply? => Q23. / What does the above passage imply?
293 | 24. This passage relates to => Q24. / This passage relates to
303 | 25. The passage seems to suggest that => Q25. / The passage seems to suggest that
313 | 26. With reference to the above passage, the following assumptions have been made: => Q26. / With reference to the above passage, the following assumptions have been made:
331 | 27. With reference to the above passage, the following assumptions have been made: => Q27. / With reference to the above passage, the following assumptions have been made:
343 | 28. Suppose the average weight of 9 persons is 50 kg. The average weight of the first 5 persons is 45 kg, whereas the average weight of the last 5 persons is 55 kg. Then the weight of the 5th person will be => Q28. / Suppose the average weight of 9 persons is 50 kg. The average weight of the first 5 persons is 45 kg, whereas the average weight of the last 5 persons is 55 kg. Then the weight of the 5th person will be
349 | 29. In a group of six women, there are four tennis players, four postgraduates in Sociology, one postgraduate in Commerce and three bank employees. Vimala and Kamala are the bank employees while Amala and Komala are unemployed. Komala and Nirmala are among the tennis players. Amala, Kamala, Komala and Nirmala are postgraduates in Sociology of whom two are bank employees. If Shyamala is a postgraduate in Commerce, who among the following is both a tennis player and a bank employee? => Q29. / In a group of six women, there are four tennis players, four postgraduates in Sociology, one postgraduate in Commerce and three bank employees. Vimala and Kamala are the bank employees while Amala and Komala are unemployed. Komala and Nirmala are among the tennis players. Amala, Kamala, Komala and Nirmala are postgraduates in Sociology of whom two are bank employees. If Shyamala is a postgraduate in Commerce, who among the following is both a tennis player and a bank employee?
355 | 30. P = (40% of A) + (65% of B) and Q = (50% of A) + (50% of B), where A is greater than B. => Q30. / P = (40% of A) + (65% of B) and Q = (50% of A) + (50% of B), where A is greater than B.
365 | 31. A watch loses 2 minutes in every 24 hours while another watch gains 2 minutes in every 24 hours. At a particular instant, the two watches showed an identical time. Which of the following statements is correct if 24-hour clock is followed? => Q31. / A watch loses 2 minutes in every 24 hours while another watch gains 2 minutes in every 24 hours. At a particular instant, the two watches showed an identical time. Which of the following statements is correct if 24-hour clock is followed?
371 | 32. In a city, 12% of households earn less than ₹30,000 per year, 6% households earn more than ₹2,00,000 per year, 22% households earn more than ₹1,00,000 per year and 990 households earn between ₹30,000 and ₹1,00,000 per year. How many households earn between ₹1,00,000 and ₹2,00,000 per year? => Q32. / In a city, 12% of households earn less than ₹30,000 per year, 6% households earn more than ₹2,00,000 per year, 22% households earn more than ₹1,00,000 per year and 990 households earn between ₹30,000 and ₹1,00,000 per year. How many households earn between ₹1,00,000 and ₹2,00,000 per year?
377 | 33. A clock strikes once at 1 o’clock, twice at 2 o’clock and thrice at 3 o’clock, and so on. If it takes 12 seconds to strike at 5 o’clock, what is the time taken by it to strike at 10 o’clock? => Q33. / A clock strikes once at 1 o’clock, twice at 2 o’clock and thrice at 3 o’clock, and so on. If it takes 12 seconds to strike at 5 o’clock, what is the time taken by it to strike at 10 o’clock?
383 | 34. Consider the given statement and the two conclusions that follow: => Q34. / Consider the given statement and the two conclusions that follow:
402 | 35. There are thirteen 2-digit consecutive odd numbers. If 39 is the mean of the first five such numbers, then what is the mean of all the thirteen numbers? => Q35. / There are thirteen 2-digit consecutive odd numbers. If 39 is the mean of the first five such numbers, then what is the mean of all the thirteen numbers?
408 | 36. Six boys A, B, C, D, E and F play a game of cards. Each has a pack of 10 cards. F borrows 2 cards from A and gives away 5 to C who in turn gives 3 to B while B gives 6 to D who passes on 1 to E. Then the number of cards possessed by D and E is equal to the number of cards possessed by => Q36. / Six boys A, B, C, D, E and F play a game of cards. Each has a pack of 10 cards. F borrows 2 cards from A and gives away 5 to C who in turn gives 3 to B while B gives 6 to D who passes on 1 to E. Then the number of cards possessed by D and E is equal to the number of cards possessed by
414 | 37. There is a milk sample with 50% water in it. If 1/3rd of this milk is added to equal amount of pure milk, then water in the new mixture will fall down to => Q37. / There is a milk sample with 50% water in it. If 1/3rd of this milk is added to equal amount of pure milk, then water in the new mixture will fall down to
420 | 38. There are 4 horizontal and 4 vertical lines, parallel and equidistant to one another on a board. What is the maximum number of rectangles and squares that can be formed? => Q38. / There are 4 horizontal and 4 vertical lines, parallel and equidistant to one another on a board. What is the maximum number of rectangles and squares that can be formed?
426 | 39. A freight train left Delhi for Mumbai at an average speed of 40 km/hr. Two hours later, an express train left Delhi for Mumbai, following the freight train on a parallel track at an average speed of 60 km/hr. How far from Delhi would the express train meet the freight train? => Q39. / A freight train left Delhi for Mumbai at an average speed of 40 km/hr. Two hours later, an express train left Delhi for Mumbai, following the freight train on a parallel track at an average speed of 60 km/hr. How far from Delhi would the express train meet the freight train?
432 | 40. In a test, Randhir obtained more marks than the total marks obtained by Kunal and Debu. The total marks obtained by Kunal and Shankar are more than those of Randhir. Sonal obtained more marks than Shankar. Neha obtained more marks than Randhir. Who amongst them obtained highest marks? => Q40. / In a test, Randhir obtained more marks than the total marks obtained by Kunal and Debu. The total marks obtained by Kunal and Shankar are more than those of Randhir. Sonal obtained more marks than Shankar. Neha obtained more marks than Randhir. Who amongst them obtained highest marks?
447 | 41. Which one of the following is the best explanation of the above passage? => Q41. / Which one of the following is the best explanation of the above passage?
