"questionId","year","subject","questionType","reasoning_type","difficulty","static_vs_dynamic","suggested_difficulty","suggested_static_vs_dynamic","suggested_reasoning_type","passage_id","suggested_passage_id","question_nature","suggested_question_nature","primary_concept","concepts","concept_suggestions","questionText","question_intent","cognitive_level","trap_type","secondary_subject","error_prone_area","confidence_level","trend_tag","set_id","set_type"
"UPSC_2016_GS1_Q1","2016","General Studies","mcq_standard","","","","","","","","","","","Legislative Procedure: Bill Lapse","","",",Q1. Which of the following statements is/are correct? 1. A Bill pending in the Lok Sabha lapses on its prorogation. 2. A Bill pending in the Rajya Sabha, which has not been passed by the Lok Sabha, shall not lapse on dissolution of the Lok Sabha. Select the correct answer using the code given below. (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2016_GS1_Q2","2016","General Studies","mcq_standard","","","","","","","","","","","Global Hunger Index Indicators","","",",Q2. Which of the following is/are the indicator/indicators used by IFPRI to compute the Global Hunger Index Report? 1. Undernourishment 2. Child stunting 3. Child mortality Select the correct answer using the code given below. (a) 1 only (b) 2 and 3 only (c) 1, 2 and 3 (d) 1 and 3 only","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2016_GS1_Q3","2016","General Studies","mcq_standard","","","","","","","","","","","Fiscal Deficit Management","","",",Q3. There has been a persistent deficit budget year after year. Which action/actions of the following can be taken by the Government to reduce the deficit? 1. Reducing revenue expenditure 2. Introducing new welfare schemes 3. Rationalising subsidies 4. Reducing import duty Select the correct answer using the code given below. (a) 1 only (b) 2 and 3 only (c) 1 and 3 only (d) 1, 2, 3 and 4","Concept Application","L3","Concept Confusion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2016_GS1_Q4","2016","General Studies","mcq_standard","","","","","","","","","","","Payment Banks Regulations","","",",Q4. The establishment of ""Payment Banks"" is being allowed in India to promote financial inclusion. Which of the following statements is/are correct in this context? 1. Mobile telephone companies and supermarket chains that are owned and controlled by residents are eligible to be promoters of Payment Banks. 2. Payment Banks can issue both credit cards and debit cards. 3. Payment Banks cannot undertake lending activities. Select the correct answer using the code given below. (a) 1 and 2 only (b) 1 and 3 only (c) 2 only (d) 1, 2 and 3","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Emerging","",""
"UPSC_2016_GS1_Q5","2016","General Studies","mcq_standard","","","","","","","","","","","LiFi Technology","","",",Q5. With reference to 'LiFi', recently in the news, which of the following statements is/are correct? 1. It uses light as the medium for high-speed data transmission. 2. It is a wireless technology and is several times faster than 'WiFi'. Select the correct answer using the code given below. (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2","Elimination Logic","L2","Statement Distortion","","Memory Gap","High","Emerging","",""
"UPSC_2016_GS1_Q6","2016","General Studies","mcq_standard","","","","","","","","","","","INDCs & Climate Commitments","","",",Q6. The term 'Intended Nationally Determined Contributions' is sometimes seen in the context of (a) pledges made by the European countries to rehabilitate refugees from the war-affected Middle East (b) plan of action outlined by the countries of the world to combat climate change (c) capital contributed by the member countries in the establishment of Asian Infrastructure Investment Bank (d) plan of action outlined by the countries of the world regarding Sustainable Development Goals","Fact Recall","L1","Fact Twist","","Memory Gap","High","Emerging","",""
"UPSC_2016_GS1_Q7","2016","General Studies","mcq_standard","","","","","","","","","","","UDAY Scheme","","",",Q7. Which one of the following is a purpose of UDAY, a scheme of the Government? (a) Providing technical and financial assistance to start-up entrepreneurs in the field of renewable sources of energy (b) Providing electricity to every household in the country by 2018 (c) Replacing the coal-based power plants with natural gas, nuclear, solar, wind and tidal power plants over a period of time (d) Providing for financial turnaround and revival of power distribution companies","Fact Recall","L1","Fact Twist","","Memory Gap","High","Emerging","",""
"UPSC_2016_GS1_Q8","2016","General Studies","mcq_standard","","","","","","","","","","","IFC Masala Bonds","","",",Q8. With reference to 'IFC Masala Bonds', sometimes seen in the news, which of the statements given below is/are correct? 1. The International Finance Corporation, which offers these bonds, is an arm of the World Bank. 2. They are the rupee-denominated bonds and are a source of debt financing for the public and private sector. Select the correct answer using the code given below. (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Emerging","",""
"UPSC_2016_GS1_Q9","2016","General Studies","mcq_standard","","","","","","","","","","","Vijayanagar Taxation System","","",",Q9. Regarding the taxation system of Krishna Deva, the ruler of Vijayanagar, consider the following statements: 1. The tax on land was fixed depending on the quality of the land. 2. Private owners of workshops paid an industries tax. Which of the statements given above is/are correct? (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2016_GS1_Q10","2016","General Studies","mcq_standard","","","","","","","","","","","Sunga Dynasty Literature","","",",Q10. Which one of the following books of ancient India has the love story of the son of the founder of Sunga dynasty? (a) Swapnavasavadatta (b) Malavikagnimitra (c) Meghadoota (d) Ratnavali","Fact Recall","L1","Fact Twist","","Memory Gap","High","Repeating","",""
"UPSC_2016_GS1_Q11","2016","General Studies","mcq_standard","","","","","","","","","","","WTO Subsidy Boxes","","",",Q11. In the context of which of the following do you sometimes find the terms ""amber box, blue box and green box"" in the news? (a) WTO affairs (b) SAARC affairs (c) UNFCCC affairs (d) India-EU negotiations on FTA","Fact Recall","L1","Fact Twist","","Memory Gap","High","Repeating","",""
"UPSC_2016_GS1_Q12","2016","General Studies","mcq_standard","","","","","","","","","","","Capital Budget Components","","",",Q12. Which of the following is/are included in the capital budget of the Government of India? 1. Expenditure on acquisition of assets like roads, buildings, machinery, etc. 2. Loans received from foreign governments 3. Loans and advances granted to the States and Union Territories Select the correct answer using the code given below. (a) 1 only (b) 2 and 3 only (c) 1 and 3 only (d) 1, 2 and 3","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2016_GS1_Q13","2016","General Studies","mcq_standard","","","","","","","","","","","UNCCD Objectives","","",",Q13. What is/are the importance/importance of the ""United Nations Convention to Combat Desertification""? 1. It aims to promote effective action through innovative national programmes and supportive international partnerships. 2. It has a special/particular focus on South Asia and North Africa regions, and its Secretariat facilitates the allocation of major portion of financial resources to these regions. 3. It is committed to bottom-up approach, encouraging the participation of local people in combating the desertification. Select the correct answer using the code given below. (a) 1 only (b) 2 and 3 only (c) 1 and 3 only (d) 1, 2 and 3","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2016_GS1_Q14","2016","General Studies","mcq_standard","","","","","","","","","","","IMF SDR Basket Currency","","",",Q14. Recently, which one of the following currencies has been proposed to be added to the basket of IMF's SDR? (a) Rouble (b) Rand (c) Indian Rupee (d) Renminbi","Fact Recall","L1","Fact Twist","","Memory Gap","High","Emerging","",""
"UPSC_2016_GS1_Q15","2016","General Studies","mcq_standard","","","","","","","","","","","International Monetary and Financial Committee","","",",Q15. With reference to the International Monetary and Financial Committee (IMFC), consider the following statements: 1. IMFC discusses matters of concern affecting the global economy, and advises the International Monetary Fund (IMF) on the direction of its work. 2. The World Bank participates as observer in IMFC meetings. Which of the statements given above is/are correct? (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2016_GS1_Q16","2016","General Studies","mcq_standard","","","","","","","","","","","Rashtriya Garima Abhiyan","","",",Q16. ""Rashtriya Garima Abhiyan"" is a national campaign to (a) rehabilitate the homeless and destitute persons and provide them with suitable sources of livelihood (b) release the sex workers from their practice and provide them with alternative sources of livelihood (c) eradicate the practice of manual scavenging and rehabilitate the manual scavengers (d) release the bonded labourers from their bondage and rehabilitate them","Fact Recall","L1","Fact Twist","","Memory Gap","High","Emerging","",""
"UPSC_2016_GS1_Q17","2016","General Studies","mcq_standard","","","","","","","","","","","Bhakti-Sufi Movements (Siddhas/Lingayats)","","",",Q17. With reference to the cultural history of medieval India, consider the following statements: 1. Siddhas of the Tamil region were monotheistic and condemned idolatry. 2. Lingayats of Kannada region questioned the theory of rebirth and rejected the caste hierarchy. Which of the statements given above is/are correct? (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2016_GS1_Q18","2016","General Studies","mcq_standard","","","","","","","","","","","Import Cover Definition","","",",Q18. Which of the following best describes the term ""import cover"", sometimes seen in the news? (a) It is the ratio of value of imports to the Gross Domestic Product of a country (b) It is the total value of imports of a country in a year (c) It is the ratio between the value of exports and that of imports between two countries (d) It is the number of months of imports that could be paid for by a country's international reserves","Fact Recall","L1","Fact Twist","","Memory Gap","High","Repeating","",""
"UPSC_2016_GS1_Q19","2016","General Studies","mcq_standard","","","","","","","","","","","Ethnic Groups & Regions","","",",Q19. Consider the following pairs: Community sometimes mentioned in the news: In the affairs of 1. Kurd: Bangladesh 2. Madhesi: Nepal 3. Rohingya: Myanmar 4. Which of the pairs given above is/are correctly matched? (a) 1 and 2 (b) 2 only (c) 2 and 3 (d) 3 only","Elimination Logic","L2","Fact Misassociation","","Fact Misassociation","High","Emerging","",""
"UPSC_2016_GS1_Q20","2016","General Studies","mcq_standard","","","","","","","","","","","OPCW Mandate","","",",Q20. With reference to ""Organization for the Prohibition of Chemical Weapons"" (OPCW), consider the following statements: 1. It is an organization of European Union in working relation with NATO and WHO. 2. It monitors chemical industry to prevent new weapons from emerging. 3. It provides assistance and protection to States (Parties) against chemical weapons threats. Which of the statements given above is/are correct? (a) 1 only (b) 2 and 3 only (c) 1 and 3 only (d) 1, 2 and 3","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2016_GS1_Q21","2016","General Studies","mcq_standard","","","","","","","","","","","Pradhan Mantri Fasal Bima Yojana","","",",Q21. With reference to Pradhan Mantri Fasal Bima Yojana, consider the following statements: 1. Under this scheme, farmers will have to pay a uniform premium of two percent for any crop they cultivate in any season of the year. 2. This scheme covers post-harvest losses arising out of cyclones and unseasonal rains. Which of the statements given above is/are correct? (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Emerging","",""
"UPSC_2016_GS1_Q22","2016","General Studies","mcq_standard","","","","","","","","","","","Great Indian Hornbill Habitat","","",",Q22. In which of the following regions of India are you most likely to come across the ""Great Indian Hornbill"" in its natural habitat? (a) Sand deserts of northwest India (b) Higher Himalayas of Jammu and Kashmir (c) Salt marshes of western Gujarat (d) Western Ghats","Fact Recall","L1","Fact Twist","","Memory Gap","High","Repeating","",""
"UPSC_2016_GS1_Q23","2016","General Studies","mcq_standard","","","","","","","","","","","NGRBA Features","","",",Q23. Which of the following are the key features of National Ganga River Basin Authority (NGRBA)? 1. River basin is the unit of planning and management. 2. It spearheads the river conservation efforts at the national level. 3. One of the Chief Ministers of the States through which the Ganga flows becomes the Chairman of NGRBA on rotation basis. Select the correct answer using the code given below. (a) 1 and 2 only (b) 2 and 3 only (c) 1 and 3 only (d) 1, 2 and 3","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2016_GS1_Q24","2016","General Studies","mcq_standard","","","","","","","","","","","Neem-coated Urea","","",",Q24. Why does the Government of India promote the use of 'Neem-coated Urea' in agriculture? (a) Release of Neem oil in the soil increases nitrogen fixation by the soil microorganisms (b) Neem coating slows down the rate of dissolution of urea in the soil (c) Nitrous oxide, which is a greenhouse gas, is not at all released into atmosphere by crop fields (d) It is a combination of a weedicide and a fertilizer for particular crops","Concept Application","L2","Concept Confusion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2016_GS1_Q25","2016","General Studies","mcq_standard","","","","","","","","","","","Chief Secretary Appointment & Tenure","","",",Q25. Consider the following statements: 1. The Chief Secretary in a State is appointed by the Governor of that State. 2. The Chief Secretary in a State has a fixed tenure. Which of the statements given above is/are correct? (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2016_GS1_Q26","2016","General Studies","mcq_standard","","","","","","","","","","","Stand Up India Scheme","","",",Q26. With reference to ""Stand Up India Scheme"", which of the following statements is/are correct? 1. Its purpose is to promote entrepreneurship among SC/ST and women entrepreneurs. 2. It provides for refinance through SIDBI. Select the correct answer using the code given below. (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Emerging","",""
"UPSC_2016_GS1_Q27","2016","General Studies","mcq_standard","","","","","","","","","","","GIAHS Objectives","","",",Q27. The FAO accords the status of Globally Important Agricultural Heritage System (GIAHS) to traditional agricultural systems. What is the overall goal of this initiative? 1. To provide modern technology, training in modern farming methods and financial support to local communities of identified GIAHS so as to greatly enhance their agricultural productivity. 2. To identify and safeguard eco-friendly traditional farm practices and their associated landscapes, agricultural biodiversity and knowledge systems of the local communities. 3. To provide Geographical Indication status to all the varieties of agricultural produce in such identified GIAHS. Select the correct answer using the code given below. (a) 1 and 3 only (b) 2 only (c) 2 and 3 only (d) 1, 2 and 3","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
"UPSC_2016_GS1_Q28","2016","General Studies","mcq_standard","","","","","","","","","","","Brahmaputra Tributaries","","",",Q28. Which of the following is/are tributary/tributaries of Brahmaputra? 1. Dibang 2. Kameng 3. Lohit Select the correct answer using the code given below. (a) 1 only (b) 2 and 3 only (c) 1 and 3 only (d) 1, 2 and 3","Elimination Logic","L2","Fact Misassociation","","Fact Misassociation","High","Repeating","",""
"UPSC_2016_GS1_Q29","2016","General Studies","mcq_standard","","","","","","","","","","","Core Banking Solutions","","",",Q29. The term ""Core Banking Solutions"" is sometimes seen in the news. Which of the following statements best describes/describe this term? 1. It is a networking of a bank's branches which enables customers to operate their accounts from any branch of the bank on its network regardless of where they open their accounts. 2. It is an effort to increase RBI's control over commercial banks through computerisation. 3. It is a detailed procedure by which a bank with huge non-performing assets is taken over by another bank. Select the correct answer using the code given below. (a) 1 only (b) 2 and 3 only (c) 1 and 3 only (d) 1, 2 and 3","Elimination Logic","L2","Statement Distortion","","Partial Knowledge Trap","High","Repeating","",""
