"questionId","year","subject","questionType","reasoning_type","difficulty","static_vs_dynamic","suggested_difficulty","suggested_static_vs_dynamic","suggested_reasoning_type","passage_id","suggested_passage_id","question_nature","suggested_question_nature","primary_concept","concepts","concept_suggestions","questionText","question_intent","cognitive_level","trap_type","secondary_subject","error_prone_area","confidence_level","trend_tag","set_id","set_type"
"UPSC_2016_CSAT_Q1","2016","Aptitude","mcq_standard","Reading Interpretation","medium","static","medium","static","","CSAT_2016_P1","","","","Governance Accountability","Internal vs External Accountability; Civil Services Reform","",",Q1. According to the passage, which of the following factors led to the adverse consequences for governance/public administration? Inability of civil services to strike a balance between internal and external accountabilities Lack of sufficient professional training to the officers of All India Services Lack of proper service benefits in civil services Lack of Constitutional provisions to define the respective roles of professional civil services vis-?-vis political executive Select the correct answer using the code given below: (a) 1 only (b) 2 and 3 only (c) 1 and 4 only (d) 2, 3 and 4,","Reading Interpretation","L2","Inference Trap","","Incomplete Inference","High","Declining","CSAT_2016_P1","Passage"
"UPSC_2016_CSAT_Q10","2016","Aptitude","mcq_standard","Reading Interpretation","medium","static","medium","static","","CSAT_2016_SET_1","","","","Propositional Logic","Propositional Logic","",",Q10. Consider the following statement: ?We shall go either for a picnic or for trekking.? Which of the following, if true, would falsify this claim? (a) We go for a picnic but not for trekking (b) Activities such as picnic and trekking are encouraged by the health authorities (c) We go for trekking and not for picnic (d) We do not go either for picnic or for trekking,","Reading Interpretation","L2","Inference Trap","","Incomplete Inference","High","Repeating","CSAT_2016_SET_1","Passage"
"UPSC_2016_CSAT_Q11","2016","Aptitude","mcq_standard","Reading Interpretation","medium","static","medium","static","","CSAT_2016_SET_1","","","","Set Logic","Set Logic","",",Q11. There were 50 faculty members comprising 30 males and the rest females. No male faculty member knew music, but many of the female faculty members did. The Head of the institution invited six faculty members to a tea party by draw of lots. At the party it was discovered that no member knew music. The conclusion is that: (a) the party comprised male faculty members only (b) the party comprised only those female faculty members who could not give renditions in music (c) the party comprised both male and female faculty members (d) nothing can be said about the gender composition of the party,","Reading Interpretation","L2","Inference Trap","","Incomplete Inference","High","Repeating","CSAT_2016_SET_1","Passage"
"UPSC_2016_CSAT_Q12","2016","Aptitude","mcq_standard","Reading Interpretation","medium","static","medium","static","","CSAT_2016_SET_1","","","","Arrangement Logic","Arrangement Logic","",",Q12. Five people A, B, C, D and E are seated about a round table. Every chair is spaced equidistant from adjacent chairs. (i) C is seated next to A (ii) A is seated two seats from D (iii) B is not seated next to A On the basis of above information, which of the following must be true? D is seated next to B E is seated next to A D and C are separated by two seats Select the correct answer using the code given below: (a) 1 only (b) 1 and 2 only (c) 3 only (d) Neither 1 nor 2 nor 3,","Reading Interpretation","L2","Inference Trap","","Incomplete Inference","High","Repeating","CSAT_2016_SET_1","Passage"
"UPSC_2016_CSAT_Q13","2016","Aptitude","mcq_standard","Numerical Optimization","medium","static","medium","static","","","","","","LCM / Cyclic Scheduling","LCM; Cyclic Scheduling","",",Q13. There are five hobby clubs in a college ? photography, yachting, chess, electronics and gardening. Gardening meets every 2nd day Electronics every 3rd day Chess every 4th day Yachting every 5th day Photography every 6th day How many times do all five clubs meet on the same day within 180 days? (a) 5 (b) 18 (c) 10 (d) 3,","Concept Application","L3","None","","Equation Setup Error","High","Repeating","",""
"UPSC_2016_CSAT_Q14","2016","Aptitude","mcq_standard","Logical Deduction","medium","static","medium","static","","","","","","Logical Deduction (Constraint System)","Linear Equations","",",Q14. There are some nectar-filled flowers on a tree and some bees are hovering on it. If one bee lands on each flower, one bee will be left out If two bees land on each flower, one flower will be left out The number of flowers and bees respectively are: (a) 2 and 4 (b) 3 and 2 (c) 3 and 4 (d) 4 and 3 Directions for the following 5 (five) items There are five persons in a group ? P, Q, R, S and T. The group has one doctor, one lawyer and one artist. P and S are unmarried students. T is a man married to one of the group members. Q is the brother of P and is neither doctor nor artist. R is not a doctor.,","Elimination Logic","L4","Constraint Satisfaction Trap","","State Construction Failure","High","Repeating","CSAT_2016_LOGIC_SET_1","Constraint System"
"UPSC_2016_CSAT_Q15","2016","Aptitude","mcq_standard","Reading Interpretation","medium","static","medium","static","","CSAT_2016_SET_1","","","","Logical Deduction","Logical Deduction","",",Q15. Who is the doctor? (a) T (b) P (c) Q (d) R,","Reading Interpretation","L2","Inference Trap","","Incomplete Inference","High","Repeating","CSAT_2016_SET_1","Passage"
"UPSC_2016_CSAT_Q16","2016","Aptitude","mcq_standard","Reading Interpretation","medium","static","medium","static","","CSAT_2016_SET_1","","","","Logical Deduction","Logical Deduction","",",Q16. Who is the artist? (a) P (b) Q (c) R (d) T,","Reading Interpretation","L2","Inference Trap","","Incomplete Inference","High","Repeating","CSAT_2016_SET_1","Passage"
"UPSC_2016_CSAT_Q17","2016","Aptitude","mcq_standard","Reading Interpretation","medium","static","medium","static","","CSAT_2016_SET_1","","","","Logical Deduction","Logical Deduction","",",Q17. Who is the spouse of R? (a) P (b) T (c) Q (d) S,","Reading Interpretation","L2","Inference Trap","","Incomplete Inference","High","Repeating","CSAT_2016_SET_1","Passage"
"UPSC_2016_CSAT_Q18","2016","Aptitude","mcq_standard","Reading Interpretation","medium","static","medium","static","","CSAT_2016_SET_1","","","","Logical Deduction","Logical Deduction","",",Q18. Who is the lawyer? (a) P (b) Q (c) R (d) S,","Reading Interpretation","L2","Inference Trap","","Incomplete Inference","High","Repeating","CSAT_2016_SET_1","Passage"
"UPSC_2016_CSAT_Q19","2016","Aptitude","mcq_standard","Reading Interpretation","medium","static","medium","static","","CSAT_2016_SET_1","","","","Logical Deduction","Logical Deduction","",",Q19. Who of the following is definitely a man? (a) P (b) S (c) Q (d) None of the above,","Reading Interpretation","L2","Inference Trap","","Incomplete Inference","High","Repeating","CSAT_2016_SET_1","Passage"
"UPSC_2016_CSAT_Q2","2016","Aptitude","mcq_standard","Reading Interpretation","medium","static","medium","static","","CSAT_2016_P1","","","","Governance Accountability","Internal vs External Accountability; Civil Services Reform","",",Q2. With reference to the passage, the following assumptions have been made: Political executive is an obstacle to the accountability of the civil services to the society In the present framework of Indian polity, the political executive is no longer accountable to the society Which of these assumptions is/are valid? (a) 1 only (b) 2 only (c) Both 1 and 2 (d) Neither 1 nor 2,","Reading Interpretation","L3","Inference Trap","","Assumption Misinterpretation","High","Declining","CSAT_2016_P1","Passage"
"UPSC_2016_CSAT_Q20","2016","Aptitude","mcq_standard","Logical Deduction","medium","dynamic","medium","dynamic","","","","","","Logical Deduction (Constraint System)","Work Rates; Defect Percentage","",",Q20. There is an order of 19000 quantity of a particular product from a customer. The firm produces 1000 quantity of that product per day, out of which 5% are unfit for sale. In how many days will the order be completed? (a) 18 (b) 19 (c) 20 (d) 22 Directions for the following 5 (five) items Read the following two passages and answer the items that follow each passage. Your answers should be based on the passages only. Passage-1 (Biomass) Biomass as fuel for power, heat, and transport has the highest mitigation potential of all renewable sources. It comes from agriculture and forest residues as well as from energy crops. The biggest challenge in using biomass residues is a long-term reliable supply delivered to the power plant at reasonable costs; the key problems are logistical constraints and the costs of fuel collection. Energy crops, if not managed properly, compete with food production and may have undesirable impacts on food prices. Biomass production is also sensitive to the physical impacts of a changing climate. Projections of the future role of biomass are probably overestimated, given the limits to the sustainable biomass supply, unless breakthrough technologies substantially increase productivity. Climate-energy models project that biomass use could increase nearly four-fold to around 150?200 exajoules, almost a quarter of world primary energy in 2050. However, the maximum sustainable technical potential of biomass resources (both residues and energy crops) without disruption of food and forest resources ranges from 80?170 exajoules a year by 2050, and only part of this is realistically and economically feasible. In addition, some climate models rely on biomass-based carbon capture and storage, an unproven technology, to achieve negative emissions and to buy some time during the first half of the century. Some liquid biofuels such as corn-based ethanol, mainly for transport, may aggravate rather than ameliorate carbon emissions on a life-cycle basis. Second-generation biofuels, based on ligno-cellulosic feedstocks such as straw, bagasse, grass and wood, hold the promise of sustainable production that is high-yielding and emit low levels of greenhouse gases, but these are still in the R & D stage.,","Elimination Logic","L4","Constraint Satisfaction Trap","","State Construction Failure","High","Declining","CSAT_2016_LOGIC_SET_2","Constraint System"
"UPSC_2016_CSAT_Q21","2016","Aptitude","mcq_standard","Reading Interpretation","medium","static","medium","static","","CSAT_2016_P3","","","","Bioenergy Sustainability","Biomass Energy; Food vs Fuel","",",Q21. What is/are the present constraint/constraints in using biomass as fuel for power generation? Lack of sustainable supply of biomass Biomass production competes with food production Bio-energy may not always be low carbon on a life-cycle basis Select the correct answer using the code given below: (a) 1 and 2 only (b) 3 only (c) 2 and 3 only (d) 1, 2 and 3,","Reading Interpretation","L2","Inference Trap","","Incomplete Inference","High","Declining","CSAT_2016_P3","Passage"
"UPSC_2016_CSAT_Q22","2016","Aptitude","mcq_standard","Reading Interpretation","medium","static","medium","static","","CSAT_2016_P3","","","","Bioenergy Sustainability","Biomass Energy; Food Security","",",Q22. Which of the following can lead to food security problem? Using agricultural and forest residues as feedstock for power generation Using biomass for carbon capture and storage Promoting the cultivation of energy crops Select the correct answer using the code given below: (a) 1 and 2 only (b) 3 only (c) 2 and 3 only (d) 1, 2 and 3,","Reading Interpretation","L2","Inference Trap","","Overgeneralization","High","Declining","CSAT_2016_P3","Passage"
"UPSC_2016_CSAT_Q23","2016","Aptitude","mcq_standard","Reading Interpretation","medium","dynamic","medium","dynamic","","CSAT_2016_P3","","","","Bioenergy Sustainability","Sustainable Biofuels; Negative Emissions","",",Q23. In the context of using biomass, which of the following is/are the characteristics of the sustainable production of biofuel? Biomass as a fuel for power generation could meet all the primary energy requirements of the world by 2050 Biomass as a fuel for power generation does not necessarily disrupt food and forest resources Biomass as a fuel for power generation could help in achieving negative emissions, given certain nascent technologies Select the correct answer using the code given below: (a) 1 and 2 only (b) 3 only (c) 2 and 3 only (d) 1, 2 and 3,","Reading Interpretation","L2","Inference Trap","","Incomplete Inference","High","Declining","CSAT_2016_P3","Passage"
