Line 21 | Q2 | Port â€” Well known as => Port — Well known as
Line 85 | Q7 | About three-fourths of worldâ€™s cobalt, a metal required for the manufacture of batteries for electric motor vehicles, is produced by => About three-fourths of world’s cobalt, a metal required for the manufacture of batteries for electric motor vehicles, is produced by
Line 117 | Q10 | With reference to Indiaâ€™s projects on connectivity, consider the following statements : => With reference to India’s projects on connectivity, consider the following statements :
Line 279 | Q21 | InvITs are recognized as borrowers under the â€˜Securitization and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002â€™. => InvITs are recognized as borrowers under the ‘Securitization and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002’.
Line 321 | Q24 | Which one of the following activities of the Reserve Bank of India is considered to be part of â€˜sterilizationâ€™? => Which one of the following activities of the Reserve Bank of India is considered to be part of ‘sterilization’?
Line 322 | Q24 | (a) Conducting â€˜Open Market Operationsâ€™ => (a) Conducting ‘Open Market Operations’
Line 347 | Q26 | Which one of the following best describes the concept of â€˜Small Farmer Large Fieldâ€™? => Which one of the following best describes the concept of ‘Small Farmer Large Field’?
Line 427 | Q31 | In essence, what does â€˜Due Process of Lawâ€™ mean? => In essence, what does ‘Due Process of Law’ mean?
Line 451 | Q33 | Which one of the following statements best reflects the Chief purpose of the â€˜Constitutionâ€™ of a country? => Which one of the following statements best reflects the Chief purpose of the ‘Constitution’ of a country?
Line 519 | Q38 | Once the Central Government notifies an area as a â€˜Community Reserveâ€™ => Once the Central Government notifies an area as a ‘Community Reserve’
Line 537 | Q39 | With reference to â€˜Scheduled Areasâ€™ in India, consider the following statements : => With reference to ‘Scheduled Areas’ in India, consider the following statements :
Line 559 | Q40 | Article 335 of the Constitution of India defines the term â€˜efficiency of administrationâ€™. => Article 335 of the Constitution of India defines the term ‘efficiency of administration’.
Line 601 | Q44 | Which one of the following explains the practice of â€˜Vattakirutalâ€™ as mentioned in Sangam poems? => Which one of the following explains the practice of ‘Vattakirutal’ as mentioned in Sangam poems?
Line 629 | Q46 | Literary work â€” Author => Literary work — Author
Line 647 | Q47 | â€œSoulâ€™s are not only the property of animal and plant life, but also of rocks, running water and many other natural objects not looked on as living by other religious sects.â€ => “Soul’s are not only the property of animal and plant life, but also of rocks, running water and many other natural objects not looked on as living by other religious sects.”
Line 675 | Q50 | (b) The Pittâ€™s India Act => (b) The Pitt’s India Act
Line 765 | Q56 | Objects in space â€” Description => Objects in space — Description
Line 857 | Q62 | With reference to the Earthâ€™s atmosphere, which one of the following statements is correct? => With reference to the Earth’s atmosphere, which one of the following statements is correct?
Line 863 | Q62 | Got you â€” and fair point earlier ðŸ‘ => Got you — and fair point earlier ??
Line 864 | Q62 | Letâ€™s continue cleanly and strictly verbatim (no edits, no missing lines) for the remaining set you just shared. => Let’s continue cleanly and strictly verbatim (no edits, no missing lines) for the remaining set you just shared.
Line 930 | Q67 | â€˜Wolbachia methodâ€™ is sometimes talked about with reference to which one of the following? => ‘Wolbachia method’ is sometimes talked about with reference to which one of the following?
Line 954 | Q69 | â€˜Aerial metagenomicsâ€™ best refers to which one of the following situations? => ‘Aerial metagenomics’ best refers to which one of the following situations?
Line 962 | Q70 | â€˜Microsatellite DNAâ€™ is used in the case of which one of the following? => ‘Microsatellite DNA’ is used in the case of which one of the following?
Line 964 | Q70 | (b) Stimulating â€˜stem cellsâ€™ to transform into diverse functional tissues => (b) Stimulating ‘stem cells’ to transform into diverse functional tissues
Line 972 | Q71 | According to the â€˜Micro, Small and Medium Enterprises Development (MSMED) Act, 2006â€™, the â€˜medium enterprisesâ€™ are those with investments in plant and machinery between â‚¹15 crore and â‚¹25 crore. => According to the ‘Micro, Small and Medium Enterprises Development (MSMED) Act, 2006’, the ‘medium enterprises’ are those with investments in plant and machinery between ?15 crore and ?25 crore.
Line 998 | Q73 | In the context of finance, the term â€˜betaâ€™ refers to => In the context of finance, the term ‘beta’ refers to
Line 1025 | Q75 | Indiaâ€™s public sector health care system largely focuses on curative care with limited preventive, promotive and rehabilitative care. => India’s public sector health care system largely focuses on curative care with limited preventive, promotive and rehabilitative care.
Line 1028 | Q75 | Under Indiaâ€™s decentralized approach to health care delivery, the States are primarily responsible for organizing health services. => Under India’s decentralized approach to health care delivery, the States are primarily responsible for organizing health services.
Line 1041 | Q76 | According to the United Nationsâ€™ World Water Development Report, 2022, India extracts more than a quarter of the worldâ€™s groundwater withdrawal each year. => According to the United Nations’ World Water Development Report, 2022, India extracts more than a quarter of the world’s groundwater withdrawal each year.
Line 1044 | Q76 | India needs to extract more than a quarter of the worldâ€™s groundwater each year to satisfy the drinking water and sanitation needs of almost 18% of worldâ€™s population living in its territory. => India needs to extract more than a quarter of the world’s groundwater each year to satisfy the drinking water and sanitation needs of almost 18% of world’s population living in its territory.
Line 1120 | Q82 | Site â€” Well known for => Site — Well known for
Line 1155 | Q84 | One of the standard sizes of the National Flag of India is 600 mm Ã— 400 mm. => One of the standard sizes of the National Flag of India is 600 mm × 400 mm.
Line 1203 | Q87 | Recently, the United States of America (USA) and the European Union (EU) have launched the â€˜Trade and Technology Councilâ€™. => Recently, the United States of America (USA) and the European Union (EU) have launched the ‘Trade and Technology Council’.
Line 1219 | Q88 | India accounts for 3Â·2% of global export of goods. => India accounts for 3·2% of global export of goods.
Line 1222 | Q88 | Many local companies and some foreign companies operating in India have taken advantage of Indiaâ€™s Production-linked Incentive scheme. => Many local companies and some foreign companies operating in India have taken advantage of India’s Production-linked Incentive scheme.
Line 1234 | Q89 | The â€˜Stability and Growth Pactâ€™ of the European Union is a treaty that => The ‘Stability and Growth Pact’ of the European Union is a treaty that
Line 1252 | Q90 | Recently, all the countries of the United Nations have adopted the first-ever compact for international migration, the â€˜Global Compact for Safe, Orderly and Regular Migration (GCM)â€™. => Recently, all the countries of the United Nations have adopted the first-ever compact for international migration, the ‘Global Compact for Safe, Orderly and Regular Migration (GCM)’.
Line 1284 | Q92 | Action â€” The Act under which it is covered => Action — The Act under which it is covered
Line 1302 | Q93 | Regions often mentioned in news â€” Reason for being in news => Regions often mentioned in news — Reason for being in news
Line 1324 | Q94 | The â€˜Arab Peace Initiativeâ€™ mediated by Saudi Arabia was signed by Israel and Arab League. => The ‘Arab Peace Initiative’ mediated by Saudi Arabia was signed by Israel and Arab League.
Line 1356 | Q96 | The official mascot was named â€˜Thambiâ€™. => The official mascot was named ‘Thambi’.
Line 1360 | Q96 | The trophy for the winning team in the womenâ€™s section is the Hamilton-Russell Cup. => The trophy for the winning team in the women’s section is the Hamilton-Russell Cup.
Line 1372 | Q97 | Area of conflict mentioned in news â€” Country where it is located => Area of conflict mentioned in news — Country where it is located
Line 1416 | Q100 | Digital public infrastructure is one of Indiaâ€™s G-20 priorities. => Digital public infrastructure is one of India’s G-20 priorities.
