"Id","Weight","Total","Priority"
"Number System","264","264",""
"Logical Reasoning","106","106",""
"Permutation & Combination","51","51",""
"Casual Workers & Labour Laws","45","45",""
"RBI Governance","45","45",""
"Time, Speed & Distance","26","26",""
"Percentage","23","23",""
"Ratio & Proportion","23","23",""
"Averages","17","17",""
"Countercyclical Fiscal Policy","10","10",""
"Macroeconomics","10","10",""
"Government Schemes","9","9",""
"Profit & Loss","8","8",""
"Time & Work","8","8",""
"Right to Education & Quality","5","5",""
"Agricultural Households","5","5",""
"Xerophytic Adaptations","5","5",""
"Conservation & Biodiversity","5","5",""
"Leader of Opposition","5","5",""
"Governance Accountability","4","4",""
"Global Food Security","4","4",""
"Parliamentary Procedure","4","4",""
"Bioenergy Sustainability","4","4",""
"Agricultural Technology & Food Security","3","3",""
"Environmental Management","3","3",""
"Evolution & Natural Selection","3","3",""
"Rights and Duties","3","3",""
"Environmental Institutions","3","3",""
"Indian Federalism","3","3",""
"Financial Inclusion","3","3",""
"Desertification & Deforestation","3","3",""
"Urban Planning Education","2","2",""
"Summer Solstice","2","2",""
"Demographic Dividend","2","2",""
"Historical Injustice & Social Discrimination","2","2",""
"Indian National Movement","2","2",""
"Regions & Countries","2","2",""
"Food Loss & Waste","2","2",""
"Crop Disease Risk & Genetic Diversity","2","2",""
"Truthfulness & Morality","2","2",""
"Capital Adequacy Ratio","2","2",""
"Wildlife Protection Act","2","2",""
"Agricultural Transformation & Poverty Reduction","2","2",""
"Economic Liberalization & Role of State","2","2",""
"Smallholder Farmers & Climate Risk","2","2",""
"Government of India Act 1935","2","2",""
"Handloom Sector Modernization","2","2",""
"Parliamentary Procedures","2","2",""
"Agriculture vs Non-Agriculture Growth","2","2",""
"Value of Research","2","2",""
"Data Privacy & IoT","2","2",""
"Ecosystem Conservation vs Livelihoods","2","2",""
"Cultural Relativism & Universal Values","2","2",""
"Social Media & Democracy","2","2",""
"Overwork & Self-Improvement","2","2",""
"Microbiome & Malnutrition","2","2",""
"Conflict Regions","2","2",""
"Physical Geography","2","2",""
"Stressed Assets Resolution","2","2",""
"Adolescent Psychology & Parenting","2","2",""
"Circular Economy & Battery Recycling","2","2",""
"Opposition in Democracy","2","2",""
"Biotechnology Regulation & GM Crops","2","2",""
"Happiness & Gift-Giving","2","2",""
"Net-Zero Transition","2","2",""
"Education System & Learning Outcomes","2","2",""
"Education Outcomes & Skills","2","2",""
"GM Technology & IPR","2","2",""
"Wildlife Corridors & Conservation","2","2",""
"Parliamentary System","2","2",""
"Biodiversity & Climate Adaptation","2","2",""
"Constitutional Bodies","2","2",""
"Urban Water Governance","2","2",""
"Regulation & Economic Growth","2","2",""
"Ninth Schedule & Judicial Review","2","2",""
