GS1-2017 encoding fixes
Format: Line | Q# | Before => After

5 | Q1 | A private member’s bill is a bill presented by a Member of Parliament who is not elected but only nominated by the President of India. => A private member's bill is a bill presented by a Member of Parliament who is not elected but only nominated by the President of India.
7 | Q1 | Recently, a private member’s bill has been passed in the Parliament of India for the first time in its history. => Recently, a private member's bill has been passed in the Parliament of India for the first time in its history.
33 | Q3 | ‘Recognition of Prior Learning Scheme’ is sometimes mentioned in the news with reference to => 'Recognition of Prior Learning Scheme' is sometimes mentioned in the news with reference to
92 | Q9 | Which of the following gives ‘Global Gender Gap Index’ ranking to the countries of the world ? => Which of the following gives 'Global Gender Gap Index' ranking to the countries of the world ?
119 | Q11 | It decides the RBI’s benchmark interest rates. => It decides the RBI's benchmark interest rates.
215 | Q18 | The term ‘Digital Single Market Strategy’ seen in the news refers to => The term 'Digital Single Market Strategy' seen in the news refers to
233 | Q20 | With reference to the ‘Prohibition of Benami Property Transactions Act, 1988 (PBPT Act)’, consider the following statements : => With reference to the 'Prohibition of Benami Property Transactions Act, 1988 (PBPT Act)', consider the following statements :
338 | Q27 | The term ‘Domestic Content Requirement’ is sometimes seen in the news with reference to => The term 'Domestic Content Requirement' is sometimes seen in the news with reference to
414 | Q33 | What is/are the advantage/advantages of implementing the ‘National Agriculture Market’ scheme ? => What is/are the advantage/advantages of implementing the 'National Agriculture Market' scheme ?
428 | Q34 | With reference to the ‘National Intellectual Property Rights Policy’, consider the following statements : => With reference to the 'National Intellectual Property Rights Policy', consider the following statements :
430 | Q34 | It reiterates India’s commitment to the Doha Development Agenda and the TRIPS Agreement. => It reiterates India's commitment to the Doha Development Agenda and the TRIPS Agreement.
474 | Q37 | Radhakanta Deb — First President of the British Indian Association => Radhakanta Deb - First President of the British Indian Association
476 | Q37 | Gazulu Lakshminarasu Chetty — Founder of the Madras Mahajana Sabha => Gazulu Lakshminarasu Chetty - Founder of the Madras Mahajana Sabha
478 | Q37 | Surendranath Banerjee — Founder of the Indian Association => Surendranath Banerjee - Founder of the Indian Association
497 | Q39 | With reference to ‘Quality Council of India (QCI)’, consider the following statements : => With reference to 'Quality Council of India (QCI)', consider the following statements :
527 | Q41 | With reference to ‘Asia Pacific Ministerial Conference on Housing and Urban Development (APMCHUD)’, consider the following statements : => With reference to 'Asia Pacific Ministerial Conference on Housing and Urban Development (APMCHUD)', consider the following statements :
529 | Q41 | The first APMCHUD was held in India in 2006 on the theme ‘Emerging Urban Forms — Policy Responses and Governance Structure’. => The first APMCHUD was held in India in 2006 on the theme 'Emerging Urban Forms - Policy Responses and Governance Structure'.
541 | Q42 | Democracy’s superior virtue lies in the fact that it calls into activity => Democracy's superior virtue lies in the fact that it calls into activity
550 | Q43 | Which of the following is a most likely consequence of implementing the ‘Unified Payments Interface (UPI)’ ? => Which of the following is a most likely consequence of implementing the 'Unified Payments Interface (UPI)' ?
