"Concept","Cluster"
"Big Data & Digital Sovereignty","Aptitude"
"Asiatic Lion Conservation","Environment"
"Sustainable Aviation Fuel","Sci & Tech"
"Food Security vs Trade Rules","Aptitude"
"Visible Light Communication",""
"Missile Systems",""
"Critical Minerals Policy","Polity"
"DILRMP","Polity"
"Sugarcane Cultivation Techniques","Sci & Tech"
"Nanoparticles","Polity"
"Major Minerals",""
"FCI Economic Cost","Sci & Tech"
"Committee on Subordinate Legislation","Polity"
"Plastic in Chewing Gum","Environment"
"Ryotwari Settlement","History"
"Participatory Notes",""
"Coal Sector Nationalization",""
"Coastal Geomorphology","Geography"
"Digital Payments","Economy"
"Agroecology","Aptitude"
"Animal Habitats","Sci & Tech"
"Foundational Learning & Education","Aptitude"
"Non-Cooperation Programme",""
"Solid Waste Management Rules 2016",""
"Tropical Peatlands","Geography"
"Poisonous Species",""
"Urban Sanitation & Public Health","Aptitude"
"Financial Inclusion","Aptitude"
"Recirculating Aquaculture System",""
"Vijayanagara Temple Architecture","History"
"Famine in Somalia",""
"Software as a Service",""
"Marsupials & Biogeography",""
"Water Pollution Indicators","Environment"
"Space Missions & Microgravity","Geography"
"Venezuela Economy & Oil","Sci & Tech"
"Xerophytic Adaptations","Geography"
"Planning in India",""
"Trade Union Movement","History"
"Peacock Tarantula","Environment"
"Labour Reforms & Employment","Aptitude"
"Higher Education Pedagogy","Aptitude"
"Pesticides",""
"Legal Profession Regulation",""
"National Pension System",""
"Evolution & Natural Selection","Aptitude"
"Bioremediation","Environment"
"Unnat Bharat Abhiyan","Geography"
"Exercise Mitra Shakti 2023","Sci & Tech"
"Indian State Geography",""
"Indian Lakes & River Systems","Geography"
"Social Reform & Women's Rights","Sci & Tech"
"Indo-Islamic Architecture",""
"Parliamentary Sessions & Summoning","Polity"
"Minor Minerals Regulation","Sci & Tech"
"Dams & Reservoirs","Environment"
"100 Million Farmers Initiative","Economy"
"SUMED Pipeline","Geography"
"Rock Permeability","Sci & Tech"
"Big Cats Behavior","Geography"
"Drone Applications","Sci & Tech"
"Investment Risk & Asset Allocation","Aptitude"
"Self-Help Groups","Economy"
"Solar Power Projects in India",""
"Troposphere Thickness","Sci & Tech"
"UN Convention against Corruption","Sci & Tech"
"Education & Culture","Aptitude"
"State Legislature Procedures",""
"Carbon Sequestration","Geography"
"Mercury Pollution","Environment"
"Lake Faguibine",""
"Constitution Day","Polity"
"Biochar in Agriculture","Sci & Tech"
"Sanitation Behavior","Aptitude"
"Maternity Benefit Act","Sci & Tech"
"Gandharva Mahavidyalaya","Sci & Tech"
"Ratio & Proportion","Aptitude"
"Alternative Investment Funds",""
"Indian Avifauna","Environment"
"Greenwashing","Environment"
"Viruses & Hosts","Geography"
"Inland Water Bodies","Geography"
"Cyber Insurance",""
"Green Economy","Environment"
"Monetary Policy Instruments","Economy"
"Indian Philosophers","Sci & Tech"
"Nature Restoration Law","Geography"
"G20 Formation & Priorities","Economy"
"Animal Communication",""
"Natural Fibre Crops","Sci & Tech"
"Food Loss & Waste","Aptitude"
"Crop Disease Risk & Genetic Diversity","Aptitude"
"Inter-State River Water Governance","Aptitude"
"Conservation & Biodiversity","Environment"
"Lead Bank Scheme","Economy"
"RTGS vs NEFT","Sci & Tech"
"GM Mustard","Sci & Tech"
"Bengal Exports","History"
"GAGAN System","Sci & Tech"
"Inflation-Indexed Bonds",""
"Commercialization of Agriculture","History"
"Ayushman Bharat Digital Mission",""
"Sustainable Road Construction","Environment"
"Organization of Turkic States",""
"Smallholder Farmers & Climate Risk","Aptitude"
"Credit Rating Agencies",""
"Effective Exchange Rate","Sci & Tech"
"Kharif Crops Area",""
"Activated Carbon Adsorption","Economy"
"Civil Society & State","Aptitude"
"Ecosystem Resilience & Climate Change","Aptitude"
"India Sanitation Coalition; NIUA",""
"Capital Adequacy Ratio","Environment"
"Sea Turtles & Marine Reptiles","Economy"
"Fuel Cell Vehicles Emissions",""
"Constitution Amendment Procedure",""
"Thermal Power Plants & Water Stress","Geography"
"Indian Federalism","Polity"
"Climate Justice","Aptitude"
"Lok Sabha Ethics Committee","Sci & Tech"
"Chess Records",""
"Banking System Reforms","Aptitude"
"Bhakti Saints","Sci & Tech"
"Global Rice Exports",""
"Edible Oil Imports","Economy"
"India CO2 Emissions Profile",""
"Nutrition Security & Food Systems","Aptitude"
"Education for Citizenship","Aptitude"
"Harijan Upliftment",""
"UN Credentials Committee",""
"Genome Editing","Aptitude"
"UNCCD","Sci & Tech"
"Sustainable Agriculture Practices",""
"IoT Security","Aptitude"
"Reservoir Management & Flood Control","Aptitude"
"Artificial Rainmaking","Environment"
"Innovation Programs","Sci & Tech"
"Agro-biodiversity & Food Security","Aptitude"
"Agricultural Market Reforms",""
"British Colonial Rule","History"
"IMF Emergency Financing","Economy"
"Presidential Election Electoral College","Polity"
"Climate Change & Polar Ecosystems","Aptitude"
"Ancient Religious Terms","Sci & Tech"
"Water Ecosystems & Policy","Aptitude"
"Plant Descriptions","Sci & Tech"
"Israel-Palestine Conflict",""
"Tiger Reserves & Critical Tiger Habitat","Sci & Tech"
"Food Price Policy",""
"COP28 Climate & Health Declaration","Geography"
"Hydrofluorocarbons Applications",""
"Paris Agreement Article 6","Polity"
"Industrial Revolution Impact on India","History"
"Yogavasi??ha Translation",""
"Logical Reasoning","Aptitude"
"Ancient Indian Literature","History"
"Capabilities Approach to Poverty","Aptitude"
"National Career Service","Sci & Tech"
"Somnath Temple",""
"AI Action Summit 2025","Sci & Tech"
"Equity Options Market","Economy"
"Science & Faith","Aptitude"
"Cybersecurity & IoT Risks","Aptitude"
"Electoral Rights","Polity"
"ASEAN Free Trade Partners",""
"Medieval Administrative Terms","Sci & Tech"
"Buddhist Sites",""
"Slavery in Arthashastra",""
"Water Resource Management","Aptitude"
"Parliamentary System","Polity"
"Financial Markets Regulation","Economy"
"PFAS Pollution","Environment"
"Interest Coverage Ratio","Economy"
"Net-Zero Transition","Aptitude"
"Modern Indian Timeline","History"
"Industrial Labour Legislation","Economy"
"Indian Waterfalls","Geography"
"Nitrogen-fixing Plants",""
"Tea-Producing States",""
