"questionId","year","subject","questionType","reasoning_type","difficulty","static_vs_dynamic","suggested_difficulty","suggested_static_vs_dynamic","suggested_reasoning_type","passage_id","suggested_passage_id","question_nature","suggested_question_nature","primary_concept","concepts","concept_suggestions","questionText"
"UPSC_2017_CSAT_Q1","2017","Aptitude","mcq_standard","Inference","medium","static","medium","static","elimination","CSAT_2017_P1","","","","Climate Change & Resource Conflicts","Resource Scarcity; Environmental Conflict; Water Conflicts","","What does the above passage imply?"
"UPSC_2017_CSAT_Q11","2017","Aptitude","mcq_standard","Elimination","medium","static","medium","static","elimination","","","","","Calendar and Working Days","Weekday Counting; Calendar Arithmetic","","If second and fourth Saturdays and all the Sundays are taken as only holidays for an office, what would be the minimum number of possible working days of any month of any year?"
"UPSC_2017_CSAT_Q12","2017","Aptitude","mcq_standard","Elimination","medium","static","medium","static","elimination","","","","","Exponential Decay","Population Decline; Geometric Progression","","If there is a policy that 1/3rd of a population of a community has migrated every year from one place to some other place, what is the leftover population of that community after the sixth year, if there is no further growth in the population during this period?"
"UPSC_2017_CSAT_Q13","2017","Aptitude","mcq_standard","Elimination","medium","static","medium","static","elimination","","","","","Scheduling and Sequencing","Logic Games; Ordering Constraints","","Four tests???Physics, Chemistry, Mathematics and Biology???are to be conducted on four consecutive days, not necessarily in the same order. Physics test is held before the test which is conducted after Biology Chemistry is conducted exactly after two tests are held Which is the last test held?"
"UPSC_2017_CSAT_Q14","2017","Aptitude","mcq_standard","Elimination","medium","static","medium","static","elimination","","","","","Linear Equations and Inequalities","Income Comparison; Algebraic Reasoning","","The sum of income of A and B is more than that of C and D taken together. The sum of income of A and C is the same as that of B and D taken together. Moreover, A earns half as much as the sum of the income of B and D. Whose income is the highest?"
"UPSC_2017_CSAT_Q15","2017","Aptitude","mcq_standard","Inference","medium","static","medium","static","elimination","","","","","Statement and Conclusion","Logical Inference; Conclusions","","Statement: Good voice is a natural gift but one has to keep practising to improve and excel well in the field of music. Conclusions: I. Natural gifts need nurturing and care. II. Even though ones voice is not good, one can keep practising."
"UPSC_2017_CSAT_Q16","2017","Aptitude","mcq_standard","Elimination","medium","static","medium","static","elimination","","","","","Relative Progress with Slips","Arithmetic Progression; Rates","","Three pillars X, Y and Z of different heights. Spiders A, B and C climb: A: +6 cm, slips 1 cm ??? net 5 cm B: +7 cm, slips 3 cm ??? net 4 cm C: +6.5 cm, slips 2 cm ??? net 4.5 cm Each takes 40 chances to reach top. Find height of shortest pillar."
"UPSC_2017_CSAT_Q17","2017","Aptitude","mcq_standard","Elimination","medium","static","medium","static","elimination","","","","","Rights and Social Well-being","Political Theory; Citizen Rights","","???Rights are certain advantageous conditions of social well-being indispensable to the true development of the citizen.??? Correct understanding:"
"UPSC_2017_CSAT_Q18","2017","Aptitude","mcq_standard","Elimination","medium","static","medium","static","elimination","","","","","Ranking and Positions","Ordering; Relative Position","","15 students failed in a class of 52. Merit list after removing failures ??? Ramesh is 22nd from top. What is his position from bottom?"
"UPSC_2017_CSAT_Q19","2017","Aptitude","mcq_standard","Elimination","medium","static","medium","static","elimination","","","","","Blood Relations (Symbolic)","Relation Symbols; Family Tree","","A + B ??? A is son of B A ??? B ??? A is wife of B Expression: P + R ??? Q"
