"concept","count","batch"
"Bioenergy Sustainability","2","batch1"
"Food vs Fuel Debate","2","batch1"
"Financial Inclusion","2","batch1"
"Governance Accountability","2","batch1"
"Civil Services Reform","2","batch1"
"Cryptocurrency","1","batch1"
"Biodiversity Economics","1","batch1"
"TEEB Initiative","1","batch1"
"Blockchain Technology","1","batch1"
"Power Sector Reforms","1","batch1"
"Financial Regulation","1","batch1"
"Digital Payments","1","batch1"
"Banking Regulation","1","batch1"
"Payment Banks","1","batch1"
"World Bank","1","batch1"
"Aerospace Technology","1","batch1"
"Ecosystem Valuation","1","batch1"
"NASA Technology","1","batch1"
"Electric Aircraft","1","batch1"
"Extremists vs Moderates","1","batch1"
"Indian National Movement","1","batch1"
"Cultural Memory","1","batch1"
"Surat Split (1907)","1","batch1"
"Rajya Sabha Special Powers","1","batch1"
"Legislative Powers","1","batch1"
"Indian Federalism","1","batch1"
"Oral Historiography","1","batch1"
"Gold Monetization Policy","1","batch1"
"DISCOM Financial Health","1","batch1"
"UDAY Scheme","1","batch1"
"Sovereign Gold Bonds","1","batch1"
"Oral Traditions in History","1","batch1"
"Savings Mobilization","1","batch1"
"Gold Imports","1","batch1"
"Oligarchies","1","batch1"
"Economic Growth Constraints","1","batch1"
"Crony Capitalism","1","batch1"
"Governance Transparency","1","batch1"
"Agriculture Emissions","1","batch1"
"Greenhouse Gas Emissions","1","batch1"
"Climate Change & Land Use","1","batch1"
"Internal vs External Accountability","1","batch1"
"Biomass Supply Constraints","1","batch1"
"Political Executive vs Bureaucracy","1","batch1"
"Life-cycle Emissions","1","batch1"
"Accountability Mechanisms","1","batch1"
"Negative Emissions","1","batch1"
"Biomass Energy","1","batch1"
"Deforestation","1","batch1"
"Traditional Farming Systems","1","batch1"
"Agro-biodiversity","1","batch1"
"Agricultural Heritage Systems (GIAHS)","1","batch1"
"Banking Technology","1","batch1"
"Ease of Doing Business Index","1","batch1"
"Global Governance Indices","1","batch1"
"Core Banking Systems","1","batch1"
"Shunga Dynasty","1","batch1"
"Sanskrit Drama","1","batch1"
"Ancient Indian Literature","1","batch1"
"Capital Budget","1","batch1"
"Loans & Advances","1","batch1"
"Capital Receipts","1","batch1"
"Public Expenditure","1","batch1"
