"Name","Count"
"Number System","271"
"Logical Reasoning","98"
"Permutation & Combination","52"
"RBI Governance","45"
"Casual Workers & Labour Laws","45"
"General Studies","28"
"Time, Speed & Distance","26"
"Percentage","23"
"Ratio & Proportion","23"
"Science & Technology","22"
"Averages","17"
"Macroeconomics","11"
"Countercyclical Fiscal Policy","10"
"Government Schemes","9"
"Profit & Loss","8"
"Time & Work","8"
"Xerophytic Adaptations","5"
"Agricultural Households","5"
"Leader of Opposition","5"
"Right to Education & Quality","5"
"Conservation & Biodiversity","5"
"Governance Accountability","4"
"Parliamentary Procedure","4"
"Global Food Security","4"
"Bioenergy Sustainability","4"
"Rights and Duties","3"
"Financial Inclusion","3"
"Indian Federalism","3"
"Evolution & Natural Selection","3"
"Agricultural Technology & Food Security","3"
"Environmental Management","3"
"Environmental Institutions","3"
"Desertification & Deforestation","3"
